"","E1_Root","E1_Soil","E2_Root","E2_Soil","E3_Root","E3_Soil","E4_Root","E4_Soil","E5_Root","E5_Soil","E6_Root","E6_Soil","E7_Root","E7_Soil","E8_Root","E8_Soil","E9_Root","E9_Soil","Neg_Control","P1_Root","P1_Soil","P2_Root","P2_Soil","P3_Root","P3_Soil","P4_Root","P4_Soil","P5_Root","P5_Soil","P6_Root","P6_Soil","P7_Root","P7_Soil","P8_Root","P8_Soil","P9_Root","P9_Soil"
"E6_Root",0.0702130118409237,0.0737835360988972,0.102985429843737,0.0731206656095353,0.0872008491079983,0.0717811840394471,0.0647509986484956,0.0793049721209663,0.0714702857233938,0.0698873126730257,0,0.0723756450845486,0.102368620690644,0.0780046268498551,0.0715819793768152,0.0721749743264534,0.0788367894400287,0.0771760754755982,0.394785096358075,0.0750092154304105,0.104479594604872,0.0654960760916252,0.0693946529686363,0.0771399081427733,0.0757046360874294,0.0698552515565452,0.0833129132197323,0.0836286331322986,0.0941438906051071,0.0858468916937085,0.0777363383661344,0.104583916575979,0.0750927451231093,0.0732855241943957,0.0875849704716637,0.0814664440260005,0.072879121069122
"E6_Soil",0.0743721795426182,0.03741396658421,0.117849240020495,0.0479618908801586,0.0877171438849212,0.0499754050698166,0.0880925990671637,0.0328373095518536,0.0721699380147601,0.0419243801798162,0.0723756450845486,0,0.103751160970987,0.0355575692274757,0.0703375864653265,0.0490268838826866,0.0894476259035661,0.0404502203734021,0.397465695879084,0.0918286733555582,0.095465429558589,0.0679613596667309,0.0361889890288411,0.085256771942835,0.0419083923283928,0.078937508496238,0.0428050915457134,0.0794268490904694,0.0766630417784804,0.109152752653509,0.0392906181150148,0.103429597373829,0.0477397675280737,0.074055074898025,0.0632519204373381,0.0818735119321904,0.0380059054477617
"E7_Root",0.102011447205793,0.100794578243338,0.124516668042448,0.101798881344447,0.114299322855669,0.088541751679041,0.107977500739149,0.106868494428694,0.0941688395536614,0.0936083161640462,0.102368620690644,0.103751160970987,0,0.103328580643413,0.0961747246111404,0.0992710127006409,0.106311458673917,0.0987530749519288,0.406804134174438,0.100397008510159,0.108930569067038,0.0974197762751148,0.0966218217309276,0.108166182371897,0.104224151198161,0.0955287465944133,0.110914281418496,0.0935013599547015,0.109996965502992,0.115326117794311,0.0960742375887746,0.0907708893741947,0.102535071171648,0.0994146024046468,0.101801413165055,0.0977929311871985,0.0973825802564594
"E7_Soil",0.0767512173171667,0.0376369579713199,0.121377516848576,0.0495492356826206,0.0900212294487259,0.0505136528087364,0.0907204985202976,0.037205344681714,0.0758944776061007,0.0412885588002495,0.0780046268498551,0.0355575692274757,0.103328580643413,0,0.0725909474076279,0.044732226877027,0.090304387554423,0.0349831333191194,0.398400819868584,0.0938840526966916,0.0955546957710984,0.069811705693072,0.0351951293024432,0.0874060286630924,0.0409821963106807,0.081274039806924,0.0378877371191514,0.0773663630271978,0.0715882736710484,0.111629781043116,0.0366027166333819,0.102897928153282,0.0453254995460796,0.0744496255419307,0.0530900490575519,0.081247777517293,0.0354837754265896
"E8_Root",0.0617988349124157,0.057280113431201,0.10260566241699,0.0619717410314984,0.0790965291935328,0.0646558206040544,0.0799408034335692,0.0770089590198586,0.0655203941515419,0.0588108416139377,0.0715819793768152,0.0703375864653265,0.0961747246111404,0.0725909474076279,0,0.0546689182642178,0.07489125495328,0.0657630819625578,0.401328046119989,0.0802371638993103,0.101885509166826,0.0565312116947328,0.0579100820947101,0.0736543217337364,0.0688605577744239,0.0762651419373088,0.080617442352276,0.0666864947522926,0.0845319277781671,0.106827758885144,0.0737438619449553,0.098536871531471,0.0576758531202778,0.0530315835056858,0.0726515227486427,0.0631950629437417,0.0613715244194898
"E8_Soil",0.0675564901256753,0.0409665275730026,0.114189069758825,0.0444675870865651,0.0845031146251084,0.0487322555218311,0.0855357123066908,0.0550951341411591,0.0682643724791458,0.0392723687246683,0.0721749743264534,0.0490268838826866,0.0992710127006409,0.044732226877027,0.0546689182642178,0,0.0814508937391347,0.0415870329052248,0.398024069563198,0.0854663631626974,0.0911102231923847,0.0615642738565422,0.0389675739267199,0.0799481336176,0.0463333821314824,0.0771094108785529,0.0533091487946489,0.0665166556629109,0.0572612815545394,0.108466510390088,0.048534401264049,0.0956195598681146,0.0343473918299188,0.0598793676816344,0.0515634499052344,0.0716681530869006,0.0374824895497961
"E9_Root",0.0886861749337616,0.0838204523939871,0.117421927902086,0.0888352432797976,0.0970799793846685,0.0891004602395895,0.0725441631375501,0.0935659590892029,0.0887687572340122,0.0834899953772961,0.0788367894400287,0.0894476259035661,0.106311458673917,0.090304387554423,0.07489125495328,0.0814508937391347,0,0.0858276055034499,0.405087509130436,0.0792704293463338,0.121581560813759,0.0739002763903981,0.0819111918068124,0.0893752668240424,0.090623521492154,0.0714436644007545,0.0946525131588297,0.0920022606519449,0.10279319523657,0.0928471590539267,0.0925972481751606,0.102298077528217,0.0841728498669721,0.0775199699120942,0.0936648731603843,0.0790728077775456,0.0845286079380229
"E9_Soil",0.0744862336590042,0.0354915241156643,0.119387091337318,0.0488356679609598,0.0897308172593894,0.0490329358584077,0.08963486168401,0.0438053662845155,0.0732939754124733,0.0393001599144729,0.0771760754755982,0.0404502203734021,0.0987530749519288,0.0349831333191194,0.0657630819625578,0.0415870329052248,0.0858276055034499,0,0.398983216278648,0.0900995076522191,0.0915960947663158,0.0689275167924524,0.0293489539168779,0.0865400151295351,0.0455435491649481,0.0806570448146519,0.0406101776419111,0.0685751150749855,0.0624261706849407,0.1119511428321,0.0332746004464826,0.103191711564579,0.0426073829592487,0.0687389157966035,0.0440333919376188,0.0787826218817312,0.0325223717460504
"Neg_Control",0.401495379798818,0.398955780464469,0.411696508175986,0.397740412002576,0.404344367014465,0.397474736026489,0.402787196344281,0.398454217125382,0.399575258122351,0.397171617479888,0.394785096358075,0.397465695879084,0.406804134174438,0.398400819868584,0.401328046119989,0.398024069563198,0.405087509130436,0.398983216278648,0,0.405489263581133,0.404119244174965,0.401187689909397,0.397928204607077,0.404004104514465,0.398521610568218,0.401354702625431,0.398869145924101,0.40236469705621,0.402618674854758,0.408175012422564,0.398231017370706,0.407538073998762,0.398984899117308,0.402034202647823,0.401847274137634,0.403338675102762,0.397941691018075
"P1_Root",0.0809646061678202,0.083614749666272,0.102846372050286,0.0861091819041336,0.104512280468363,0.0908860913585366,0.06821859056091,0.0970061863225217,0.0930201405008488,0.0905060805487062,0.0750092154304105,0.0918286733555582,0.100397008510159,0.0938840526966916,0.0802371638993103,0.0854663631626974,0.0792704293463338,0.0900995076522191,0.405489263581133,0,0.115308533566888,0.0595496942322493,0.0822175132353542,0.0801174843322967,0.0891507258131815,0.0682138419707986,0.0986627953637851,0.0806465597709951,0.0947816026648865,0.0644953598893814,0.0922160775394775,0.0912244325016061,0.0832699181738444,0.0603969885731377,0.0904095234006342,0.087413605419816,0.087027423437248
