"","Shannon","Simpson","Invsimpson","Richness","SampleID","TreeSpecies","TreeID","SampleType","TreeSpecies_SampleType","Plot_Rep","TreeSampleType","Copiotroph_rel_abund","Oligotroph_rel_abund","OtherBacteria_rel_abund","Copiotroph_richness","Oligotroph_richness","OtherBacteria_richness"
"26",5.63861183971135,0.987479717471744,79.8704021049965,994,"E7-2_Root","Eucalyptus","7","Root","Eucalyptus_Root","2","E7_Root",0.423696571503827,0.141368764541477,0.434934663954696,338,156,500
"27",6.18347750476309,0.994033059792926,167.590082235852,1515,"E7-N_Soil","Eucalyptus","7","Soil","Eucalyptus_Soil","N","E7_Soil",0.344650821430588,0.164105459267205,0.491243719302207,374,359,782
"28",6.50472922813562,0.995390686638417,216.952053712536,1902,"E7-S_Soil","Eucalyptus","7","Soil","Eucalyptus_Soil","S","E7_Soil",0.387479294297058,0.180439793512651,0.432080912190291,479,432,991
"29",6.2020244417289,0.993168598536357,146.382847695609,1444,"E8-1_Root","Eucalyptus","8","Root","Eucalyptus_Root","1","E8_Root",0.438853671421025,0.0868150602698939,0.474331268309081,456,211,777
"30",6.06386818138167,0.992348342997536,130.690646441415,1220,"E8-2_Root","Eucalyptus","8","Root","Eucalyptus_Root","2","E8_Root",0.445094025652731,0.0862650389503291,0.46864093539694,388,176,656
"31",6.67573700479496,0.996379153670855,276.178525432197,1868,"E8-N_Soil","Eucalyptus","8","Soil","Eucalyptus_Soil","N","E8_Soil",0.349618265017539,0.188427785937102,0.461953949045359,438,414,1016
"32",6.03967998601775,0.993875660254141,163.2829074638,1262,"E8-S_Soil","Eucalyptus","8","Soil","Eucalyptus_Soil","S","E8_Soil",0.398698476111509,0.104963630196359,0.496337893692132,340,238,684
"33",5.59887644121285,0.989426438902585,94.575516307791,1075,"E9-1_Root","Eucalyptus","9","Root","Eucalyptus_Root","1","E9_Root",0.327410617551463,0.183328022433242,0.489261360015295,321,165,589
"34",5.64512073277308,0.990388676993416,104.043948925132,1060,"E9-2_Root","Eucalyptus","9","Root","Eucalyptus_Root","2","E9_Root",0.324303236051032,0.181911515085145,0.493785248863823,314,164,582
"35",6.29790626241202,0.99459657913762,185.067945930731,1543,"E9-N_Soil","Eucalyptus","9","Soil","Eucalyptus_Soil","N","E9_Soil",0.417522877367324,0.139910862536048,0.442566260096628,407,348,788
"36",6.31941705697927,0.994795847898675,192.154260776776,1541,"E9-S_Soil","Eucalyptus","9","Soil","Eucalyptus_Soil","S","E9_Soil",0.374096973641393,0.16499837292548,0.460904653433127,409,373,759
