"","E1-1_Root","E1-2_Root","E1-N_Soil","E1-S_Soil","E2-1_Root","E2-2_Root","E2-N_Soil","E2-S_Soil","E3-1_Root","E3-2_Root","E3-N_Soil","E3-S_Soil","E4-1_Root","E4-2_Root","E4-N_Soil","E4-S_Soil","E5-1_Root","E5-2_Root","E5-N_Soil","E5-S_Soil","E6-1_Root","E6-2_Root","E6-N_Soil","E6-S_Soil","E7-1_Root","E7-2_Root","E7-N_Soil","E7-S_Soil","E8-1_Root","E8-2_Root","E8-N_Soil","E8-S_Soil","E9-1_Root","E9-2_Root","E9-N_Soil","E9-S_Soil","Neg_Control","P1-1_Root","P1-2_Root","P1-N_Soil","P1-S_Soil","P2-1_Root","P2-2_Root","P2-N_Soil","P2-S_Soil","P3-1_Root","P3-2_Root","P3-N_Soil","P3-S_Soil","P4-1_Root","P4-2_Root","P4-N_Soil","P4-S_Soil","P5-1_Root","P5-2_Root","P5-N_Soil","P5-S_Soil","P6-1_Root","P6-2_Root","P6-N_Soil","P6-S_Soil","P7-1_Root","P7-2_Root","P7-N_Soil","P7-S_Soil","P8-1_Root","P8-2_Root","P8-N_Soil","P8-S_Soil","P9-1_Root","P9-2_Root","P9-N_Soil","P9-S_Soil"
"E3-N_Soil",0.0729970435669982,0.0734109458137365,0.0573045542025732,0.0605392468156701,0.126804043298771,0.107078695522408,0.0549105708375247,0.0757288385756186,0.0800954898057936,0.0843222084208046,0,0.0434566560183735,0.0898539142273959,0.0877552793969275,0.0687651034442115,0.0574024350236243,0.0666344871611317,0.063782789577212,0.0432914465930186,0.0504141479549586,0.0815048389741838,0.0716005691788859,0.0550176810509231,0.0616514749932787,0.0895799815856406,0.085246502568234,0.0669086353231205,0.0495903160023972,0.065152059878067,0.0682018671413648,0.0462967723907869,0.0677190647722483,0.0921158801440587,0.0901721341240457,0.0499286253816845,0.0532847627867688,0.398056647364074,0.0971108085461978,0.0896884797989587,0.133996777927003,0.0665911671407846,0.0734083843377693,0.0732731778502379,0.0542201495350458,0.0509409649779254,0.0865350751184089,0.105213822517454,0.0711055990110243,0.0545872258631892,0.0812308341091005,0.0805647071070904,0.0826725697525881,0.0690559396516366,0.0701194300732214,0.0637831728556527,0.0672614654478117,0.0903784893671515,0.116207487306209,0.109159134827567,0.0678591873180465,0.0586397231333405,0.110089644031499,0.106227564690039,0.0695906211542204,0.0539111701379252,0.0677265634744394,0.0719538795522907,0.0637450041190869,0.0615776695425799,0.0812009441833073,0.0762445236451117,0.0563413483691157,0.0466912102756508
"E3-S_Soil",0.0759505499528269,0.0763780718036395,0.0608560782722145,0.0632913826061262,0.128048725409737,0.108481216132377,0.0561536585363704,0.0770226384121592,0.0715620052409213,0.0754216902386319,0.0434566560183735,0,0.091107695454862,0.088837160561304,0.0716772412418673,0.0601934529871502,0.063265460321971,0.0609998212497442,0.0496935241917566,0.0543761202685671,0.0827056161144323,0.0731458237363751,0.0582351103701297,0.0637081054493827,0.0980446601349521,0.0958562297137616,0.0724622326947589,0.053499584486052,0.0691196938003345,0.0727481763979555,0.0527514939547635,0.0702785532094685,0.0940263904728912,0.0922810918814174,0.0609493855995743,0.0599358195049852,0.398059356239104,0.0993967570729215,0.0914704271536284,0.135253957494265,0.079685770743329,0.0747887312604881,0.0735753622619103,0.0550052909845387,0.0599503448709071,0.0896646375890344,0.107453141331039,0.0730597281225251,0.0584623842894866,0.0830057989497445,0.0822001166602916,0.0886107448753398,0.0730062966330189,0.0750980996660845,0.0714510524855666,0.0763878343063736,0.0950506310775141,0.116815704379429,0.110027055646949,0.070501258761707,0.0702366831646163,0.111554483094667,0.108033252535185,0.0712030571328338,0.0584600768996268,0.0688119084538989,0.0729642742045808,0.0715468408159546,0.0703371189623078,0.0833107592560458,0.0795522310337949,0.0572396873947264,0.0526597896207788
"E4-1_Root",0.0886073240452156,0.08869122157996,0.0931824074754927,0.0924061477334488,0.120161081484761,0.103079901406588,0.0910627357868928,0.106312085222474,0.0992977485384926,0.103122832675969,0.0898539142273959,0.091107695454862,0,0.0240146485247515,0.0983314506978776,0.0923516767033447,0.0891526780139538,0.0886876454863167,0.0864711223960519,0.0901532185826563,0.0720153417517116,0.0661008936055533,0.0918076143827004,0.093985100190489,0.109183519005567,0.11234395825061,0.100802211089654,0.0906474124406939,0.0829634990147273,0.0855537431936928,0.084911365256869,0.0985534733065217,0.0755558425415966,0.0755447423743103,0.0942734579852378,0.0910014170721723,0.403094156921115,0.070304388099137,0.073834379565958,0.153895851664803,0.115034662004668,0.0749310063892769,0.0774797610119006,0.0886738398180234,0.0883943928259788,0.0852460842740054,0.100004558721425,0.100487951270857,0.0944099372609507,0.0673578207274153,0.0658212085973648,0.11007719108703,0.0974265232161825,0.097394373507889,0.0953883813888817,0.109479513044483,0.118312913022685,0.0759907927726021,0.0724802799590915,0.0982056741749607,0.105786017168255,0.113490108416679,0.109153803558022,0.10008769585552,0.0913298194711595,0.0828510869121469,0.0835509507727946,0.105772339353164,0.102803905351525,0.0928911056385628,0.0902108301611935,0.0948952018842507,0.0895900293724745
"E4-2_Root",0.0830398397988128,0.0834855898373071,0.0899961295433792,0.0913270874996296,0.115144672444111,0.0973030358715551,0.0893762898314143,0.102935708256848,0.0931197817854655,0.0966159742180261,0.0877552793969275,0.088837160561304,0.0240146485247515,0,0.0988452851891536,0.0906651875507511,0.0838570187623076,0.08368185989724,0.0844031879645629,0.0885994373339786,0.0714055545264684,0.0640787102657185,0.0909004415612606,0.0929847895293772,0.107695204877458,0.110997943684733,0.101294232861413,0.089125757166811,0.0778129222699832,0.0802956944977302,0.0827463398736,0.0964615165114472,0.0731794605708087,0.0731047752893473,0.0938794745903899,0.0898582359567702,0.402845943050726,0.0698464581549854,0.0725420789730313,0.152910788019154,0.113752581515169,0.0712371658911501,0.0739837286201979,0.0852246925646156,0.0880614222190739,0.0826836759405512,0.0976973912002116,0.0993179755514293,0.0925553403205437,0.0651726271257992,0.0633944717522361,0.109496294480268,0.0983791597293186,0.0946729333914295,0.0927766540778027,0.10789934322156,0.117519795191647,0.0787558527731145,0.074753016075502,0.0988883797080308,0.104986717786464,0.112026216487919,0.107654388037702,0.0985110458219945,0.0876480729881462,0.0785615544155409,0.0798124625697033,0.103508807337547,0.101619756661947,0.0882103285888302,0.0855699887214294,0.0920443056986102,0.0884512936996398
"E4-N_Soil",0.0937977463207485,0.0935682092447724,0.0765089883465379,0.0504296835260467,0.138003583881302,0.123451194701485,0.0590732253281514,0.0948375494088677,0.101533110084858,0.106196881407421,0.0687651034442115,0.0716772412418673,0.0983314506978776,0.0988452851891536,0,0.0539082251431236,0.0894723676853107,0.0875974637174382,0.0657243743559839,0.0595445543405932,0.0920258602862703,0.0844072596005697,0.0549232744331786,0.0478900210516937,0.114550590482578,0.116243395819353,0.0546294670552187,0.0572754537406488,0.0875568352392876,0.0912727942986945,0.0627672211110562,0.080782339347922,0.104043673390315,0.100915395752726,0.0585899840441529,0.0598517233450737,0.398804960809717,0.111383495070589,0.104267040209535,0.144896020162089,0.103413691858256,0.0871401241465267,0.0887624181869495,0.0702128928738115,0.0557462884012897,0.0989259890119591,0.116444280136794,0.0742516346035067,0.0644856533308752,0.0921923702157469,0.092846799619369,0.0850611622663592,0.0440140086529304,0.100379421725633,0.0953871299997614,0.0930126440424468,0.101724704432172,0.122360202634388,0.11481075625048,0.0436424547612907,0.0868895165222136,0.116574957862316,0.112484184256858,0.0731140366104468,0.0760932598429141,0.0926306990443838,0.0944932152957508,0.0897927180801216,0.0778281709816379,0.101132113375838,0.098473067868045,0.0783938898970957,0.0509217762325123
"E4-S_Soil",0.0782387972646495,0.0791768206060063,0.0555019117922504,0.0372932537774881,0.128579612236038,0.107349957818311,0.0449604192290953,0.0788276462506534,0.0874936145304485,0.0911762446052022,0.0574024350236243,0.0601934529871502,0.0923516767033447,0.0906651875507511,0.0539082251431236,0,0.0780753186302292,0.0773425841601176,0.0551169320738216,0.0516877944026851,0.0864748238902338,0.0781539794895293,0.0406692284167573,0.0513004974890243,0.106715279122983,0.105311642705393,0.0490454532412038,0.0442961625315745,0.0705182481675981,0.0722413739693809,0.0517036676244237,0.0673704801997404,0.0924494609445501,0.0896765590289025,0.0494029774837337,0.0449983723073255,0.400055632063987,0.0968608687362421,0.0881066436550362,0.142589094153301,0.091289365561971,0.0703402908887546,0.0675138388053185,0.0527501405473944,0.0422231288415502,0.0878969909219847,0.104865565042167,0.0669862214783139,0.0461504703204142,0.0814325259585382,0.0809603087809015,0.0791780456882019,0.0464727569292798,0.0850454448852147,0.0830527364839996,0.0795927475626636,0.0920176181615514,0.115160273231844,0.106585111928053,0.0478404527326695,0.0701435271694482,0.108532123389678,0.103237383277799,0.0549751639188531,0.0604200081443624,0.074007576080776,0.0776874968419272,0.0715423521807369,0.0585863297925894,0.0865660490541409,0.0844609375101251,0.0589440000644086,0.0429401979685438
"E5-1_Root",0.0688997529432546,0.0694618876033916,0.073496115428525,0.0797584560747877,0.111893183410593,0.0949719875128672,0.073209648193798,0.0848351502074266,0.0673786173793454,0.0712381389354998,0.0666344871611317,0.063265460321971,0.0891526780139538,0.0838570187623076,0.0894723676853107,0.0780753186302292,0,0.0238984570782062,0.0635389317897883,0.0722147680094314,0.0801200905705062,0.069724876794788,0.075193484133159,0.0806438823560687,0.0967466536311513,0.0977228063670562,0.0921430015692716,0.0725042602776635,0.0656477104531582,0.0685323621296014,0.0669188215257252,0.0829519286876316,0.0903284458270262,0.0890235700566953,0.0788150908845884,0.0759245310642039,0.399983552839641,0.0981855793310073,0.0910180381468467,0.144843586660452,0.09310834371124,0.0748076985680673,0.0738875087470205,0.063948609801788,0.075452061498008,0.0880374528923359,0.100768325764529,0.0857125982513692,0.0771762509396304,0.0826894002053398,0.082174636665992,0.100452727165718,0.0920310508092018,0.0798112098749521,0.0783885925610911,0.0902090882881453,0.106149983111509,0.115578644100189,0.109545196446105,0.0899039723964268,0.0888035305770291,0.108034025820597,0.106337950865245,0.0847222785438778,0.0705320618572291,0.0711422345023728,0.0752708809399897,0.086506632623048,0.0862082377434983,0.082248897217215,0.0786571838033622,0.0705986174373652,0.07315752135323
"E5-2_Root",0.0716872181061265,0.072347056031765,0.0736102911914197,0.0779928895854067,0.115464276108511,0.0979039430554657,0.0725354323492218,0.0847879342091892,0.0708829613753927,0.074924306424355,0.063782789577212,0.0609998212497442,0.0886876454863167,0.08368185989724,0.0875974637174382,0.0773425841601176,0.0238984570782062,0,0.061481390333527,0.0711404584538745,0.0799589417722836,0.0698012455871571,0.0740425478439838,0.0791303030205114,0.0957682573540419,0.0960214375772946,0.0903351447889647,0.0711898355162986,0.0663596296948399,0.0693757473103072,0.0656026838406274,0.0822254423754929,0.0912632800429055,0.0900015245826779,0.0769867024336089,0.0743306289025849,0.39954420917781,0.0988757730890533,0.0915753100425211,0.142979650251874,0.0902958296841249,0.075356109058227,0.0747141811980358,0.0635533034661071,0.07346260181099,0.0888017247814389,0.102609533301619,0.0854919570621048,0.0764433400967028,0.0825261747645805,0.0818557043671368,0.100285419614712,0.0901001670886265,0.0787084368301165,0.0769602140109823,0.088536056369425,0.105128105431109,0.115579708895577,0.109283545079204,0.0882236147385793,0.0856571284806123,0.1093201626944,0.107199506349924,0.0848243377741454,0.070228371542633,0.0714303475876112,0.076054333411219,0.0852065473994774,0.0845332007156735,0.0830049005176919,0.0788416848110213,0.0707847686225439,0.070977409063803
"E5-N_Soil",0.0715472031677756,0.0721054408617555,0.0543007107918886,0.0552517354410717,0.125396379280146,0.105782656666421,0.0485166811492011,0.0765021122325602,0.0815672094433069,0.0858958202084438,0.0432914465930186,0.0496935241917566,0.0864711223960519,0.0844031879645629,0.0657243743559839,0.0551169320738216,0.0635389317897883,0.061481390333527,0,0.0466050691218547,0.0785127380217638,0.0675885883191787,0.0491834252264911,0.0596168894878888,0.09394328203377,0.0927464776646856,0.0641556848200245,0.0465440724042376,0.0597408308044394,0.0631980242815319,0.0401649947233508,0.0628211201375478,0.0872183994354766,0.08480421874723,0.0477684766522317,0.0500299339463009,0.397431725578634,0.0965947811807128,0.0884279319508329,0.135538162718456,0.0756396752956177,0.0681856814478043,0.0701303811917704,0.0499927545863225,0.0499771645059766,0.0826590839800438,0.101905310708587,0.0685368918691703,0.0548370097776565,0.0786114556997137,0.0784890990889106,0.0769367321185744,0.0639868558591714,0.0734484041667616,0.0670916846751677,0.0707426036458116,0.0882857135543805,0.114056779715866,0.106775738625934,0.0659499202093717,0.0630380239499422,0.105861272692473,0.102882594526837,0.0615756092097392,0.052146833332803,0.0670631323248549,0.0701556756008004,0.0679829190939506,0.0644450122526178,0.0789013304297295,0.0744528245389745,0.0551648979253056,0.0449630308701899
"E5-S_Soil",0.0775472045740793,0.0777130567380464,0.0584556628865556,0.0497327945280184,0.129475163602538,0.110604219033035,0.0472504866836864,0.0831532247342945,0.0865582787970081,0.0903551191895079,0.0504141479549586,0.0543761202685671,0.0901532185826563,0.0885994373339786,0.0595445543405932,0.0516877944026851,0.0722147680094314,0.0711404584538745,0.0466050691218547,0,0.084243006905484,0.0742816618790037,0.048338408892118,0.0575231546755337,0.102708754335755,0.103254795221298,0.0584725357317791,0.0468528890634264,0.0653788159290485,0.0687990247685903,0.0420247534055413,0.0650333713148821,0.0899126861368983,0.087373976915344,0.0485462289335804,0.0507954438066069,0.39831224256639,0.100710575919757,0.0927196339828822,0.140138105012991,0.0875803507913916,0.0724583854998083,0.0743572268137595,0.0560678490919635,0.0502357708749522,0.0850960904564707,0.103440575311756,0.0599481700056244,0.0541249122079448,0.0836732485059008,0.0838681848453227,0.074816671237913,0.0574081790387699,0.081705329345703,0.0763163780473211,0.0755995633691411,0.0905578843270756,0.117009276486992,0.109770052547029,0.061108076003685,0.0724434221085493,0.108523077849197,0.105494292430172,0.0596236641712413,0.0561891381503971,0.0734547496346666,0.0755294026374961,0.0715232225267817,0.0697018522229239,0.0854363358435051,0.0815391845214599,0.0602536497645185,0.044497330952432
