"","Shannon","Simpson","Invsimpson","Richness","SampleID","TreeSpecies","TreeID","SampleType","TreeSpecies_SampleType","Plot_Rep","TreeSampleType","AMF_abund","ECM_abund","Endo_abund","Other_abund.x","Path_abund","Sap_abund","AMF_richness","ECM_richness","Endo_richness","Other_abund.y","Path_richness","Sap_richness"
"21",3.54582511343935,0.941007546375913,16.9513206955625,341,"E6-1_Root","Eucalyptus","6","Root","Eucalyptus_Root","1","E6_Root",0,0.0420786065374624,0.0397331190311548,0.0420972956809389,0.0225391070327247,0.853551871717719,0,17,9,93,33,189
"22",3.97158657270948,0.961964104722806,26.2909547077121,409,"E6-2_Root","Eucalyptus","6","Root","Eucalyptus_Root","2","E6_Root",0,0.0954599575503443,0.0330900243309002,0.0914738313402702,0.0300357198322721,0.749940466946213,0,21,10,108,45,225
"23",3.53546043229843,0.941394883125831,17.0633564667588,303,"E6-N_Soil","Eucalyptus","6","Soil","Eucalyptus_Soil","N","E6_Soil",8.31439498919129e-05,0.263852705873658,0.00501635164347874,0.0367588640688801,0.013358461282634,0.680930473181457,1,28,2,70,28,174
"24",3.37261645997252,0.909591858983737,11.0609508033144,367,"E6-S_Soil","Eucalyptus","6","Soil","Eucalyptus_Soil","S","E6_Soil",0.000259702564180906,0.0693787761898579,0.00523988114788533,0.0859233571903238,0.00709599065070769,0.832102292257044,7,22,4,91,26,217
"25",3.46879385477291,0.940093359930223,16.6926403957097,262,"E7-1_Root","Eucalyptus","7","Root","Eucalyptus_Root","1","E7_Root",0.000147605833382535,0.104691897423786,0.039007301568558,0.0666883155222294,0.0225738521186357,0.766891027533408,2,17,13,59,33,138
"26",3.61506961836853,0.95100816065814,20.4115626894942,283,"E7-2_Root","Eucalyptus","7","Root","Eucalyptus_Root","2","E7_Root",0.000211220394706633,0.0906410998154117,0.0430063090613549,0.085737113260049,0.026687237696412,0.753717019772066,4,21,13,59,33,153
"27",3.96637400756022,0.943567222100577,17.720198034239,587,"E7-N_Soil","Eucalyptus","7","Soil","Eucalyptus_Soil","N","E7_Soil",0.000811255591868901,0.0530329369770299,0.0180407791144179,0.0765748016286922,0.0177549080963308,0.83378531859166,12,43,10,122,51,349
"28",3.66441481170332,0.945271362639998,18.2719696348742,345,"E7-S_Soil","Eucalyptus","7","Soil","Eucalyptus_Soil","S","E7_Soil",0.000346690794091036,0.174968924666627,0.0157702031946288,0.0570686870565952,0.0710124216774761,0.680833072610582,5,22,9,80,32,197
"29",2.58885928050922,0.782409689193418,4.59579287466025,308,"E8-1_Root","Eucalyptus","8","Root","Eucalyptus_Root","1","E8_Root",0,0.546560770942649,0.0212846321893056,0.0202025357806407,0.0277465852712387,0.384205475816166,0,15,17,79,34,163
"30",3.04805612188118,0.84701865975297,6.53674492840256,354,"E8-2_Root","Eucalyptus","8","Root","Eucalyptus_Root","2","E8_Root",0,0.443660043209689,0.034405461055493,0.034405461055493,0.0398827455395632,0.447646289139762,0,14,17,100,46,177
"31",4.63629102862895,0.978318143402431,46.1215115735112,736,"E8-N_Soil","Eucalyptus","8","Soil","Eucalyptus_Soil","N","E8_Soil",0.000436540016168149,0.0999434114793856,0.019482619240097,0.12482619240097,0.0899191592562652,0.665392077607114,4,37,16,221,74,384
"32",3.75297212078687,0.949039318744355,19.622971580452,433,"E8-S_Soil","Eucalyptus","8","Soil","Eucalyptus_Soil","S","E8_Soil",0,0.143040451969056,0.0199767368868046,0.107758063622768,0.0179550615733988,0.711269685947972,0,24,9,109,42,249
"33",2.38339790254489,0.77336973754829,4.41247337924729,190,"E9-1_Root","Eucalyptus","9","Root","Eucalyptus_Root","1","E9_Root",2.69820569321401e-05,0.469712641093673,0.0611413410082295,0.0282771956648829,0.0244097675046094,0.416432072671673,1,15,9,34,17,114
"34",2.31978418084829,0.751770689673654,4.02853312803917,181,"E9-2_Root","Eucalyptus","9","Root","Eucalyptus_Root","2","E9_Root",0,0.50882911245891,0.0535024769665262,0.0297421176906338,0.0231121811194963,0.384814111764434,0,14,10,34,12,111
