"","E1-1_Root","E1-2_Root","E1-N_Soil","E1-S_Soil","E2-1_Root","E2-2_Root","E2-N_Soil","E2-S_Soil","E3-1_Root","E3-2_Root","E3-N_Soil","E3-S_Soil","E4-1_Root","E4-2_Root","E4-N_Soil","E4-S_Soil","E5-1_Root","E5-2_Root","E5-N_Soil","E5-S_Soil","E6-1_Root","E6-2_Root","E6-N_Soil","E6-S_Soil","E7-1_Root","E7-2_Root","E7-N_Soil","E7-S_Soil","E8-1_Root","E8-2_Root","E8-N_Soil","E8-S_Soil","E9-1_Root","E9-2_Root","E9-N_Soil","E9-S_Soil","Neg_Control","P1-1_Root","P1-2_Root","P1-N_Soil","P1-S_Soil","P2-1_Root","P2-2_Root","P2-N_Soil","P2-S_Soil","P3-1_Root","P3-2_Root","P3-N_Soil","P3-S_Soil","P4-1_Root","P4-2_Root","P4-N_Soil","P4-S_Soil","P5-1_Root","P5-2_Root","P5-N_Soil","P5-S_Soil","P6-1_Root","P6-2_Root","P6-N_Soil","P6-S_Soil","P7-1_Root","P7-2_Root","P7-N_Soil","P7-S_Soil","P8-1_Root","P8-2_Root","P8-N_Soil","P8-S_Soil","P9-1_Root","P9-2_Root","P9-N_Soil","P9-S_Soil"
"E3-N_Soil",0.450023400103697,0.457199375545119,0.341365409028095,0.347682055438051,0.456093312518649,0.488875232601427,0.378179390324598,0.433629633305797,0.346648556044017,0.359339217356578,0,0.297952666417392,0.503244431340323,0.47556981551938,0.38521957865345,0.341816250239655,0.461429908520505,0.461665191906052,0.310387565546841,0.266999228961354,0.365945897177783,0.338507941913322,0.348150768908605,0.390810821384504,0.362716338507395,0.345917597353813,0.340347022440283,0.341185377518821,0.485332082456747,0.442232194133022,0.280010887684668,0.325615953167508,0.479515647503144,0.484188570276589,0.303433879167357,0.308621808212597,0.4373251179976,0.425079124509965,0.45071812243255,0.362629765321579,0.499739710342646,0.370979953060619,0.357113703093996,0.426059236959583,0.395371824795274,0.42297849141309,0.40144743490213,0.352329884169169,0.315962869956372,0.344033015875787,0.340170940019517,0.328378954245784,0.338826725477974,0.379523485983354,0.392430248450014,0.317690679997757,0.332548878884538,0.348373345642792,0.348708089382586,0.359933468077817,0.322473943332315,0.402018965697195,0.422757974182352,0.318466866403539,0.407476370974788,0.401599349271336,0.386789705250582,0.349062755320424,0.315883668455073,0.333705468304742,0.342624836780138,0.239175545502264,0.22634600524562
"E3-S_Soil",0.374786613357868,0.382224790959091,0.247250287489372,0.250271700970314,0.385959963399158,0.424987724417105,0.294937135722159,0.359861679118901,0.303308951347147,0.263937300737843,0.297952666417392,0,0.440611065893798,0.409102936003589,0.296591882675391,0.238308067343689,0.399992059524618,0.389946786869159,0.292543353515555,0.190111445515402,0.27204432137494,0.236078975514039,0.245638489496702,0.304847146276628,0.27220172824008,0.255343868237351,0.240477034967626,0.253421608711792,0.42300234845039,0.370704658618316,0.157181829335028,0.226603878634187,0.432271830029725,0.443628493945844,0.200094595489252,0.202193365186511,0.367341442538553,0.344946108207406,0.376996080927662,0.278955976938766,0.436993149816574,0.290475286198061,0.287148481302997,0.363589940004025,0.337396782700326,0.36271345503387,0.321742582029151,0.262348953787908,0.24904447784122,0.277011828082613,0.276218121211856,0.217497592174782,0.233281036606294,0.294198702322005,0.316864063882987,0.210927568741123,0.237558944053246,0.341807266717646,0.32776097587839,0.280582569380768,0.21414076869532,0.320741664153408,0.350668045713583,0.212094752150942,0.328538106886888,0.33044939238038,0.322029320721667,0.250124972810379,0.199039259199289,0.298211200671902,0.309839720934111,0.211207242329812,0.190673368249954
"E4-1_Root",0.528389802817591,0.534127546187772,0.467030979133725,0.458030125614992,0.502951961612573,0.527395402260043,0.490654961821909,0.508183096711106,0.484025357426848,0.45756125778376,0.503244431340323,0.440611065893798,0,0.127868411201841,0.493593310824067,0.45674539496905,0.526376031410376,0.519183076844048,0.486817482373148,0.441558841585698,0.446949637409271,0.434817903217047,0.470058465859913,0.492828186673157,0.444412157096118,0.439664133929904,0.458597422905403,0.466957095807266,0.50744648400045,0.474449549383584,0.433378875565004,0.444416275375,0.564086090931218,0.574341440370619,0.442958799357783,0.445432045104813,0.523540318445676,0.456531581948416,0.47155428929707,0.463415840018053,0.51921906773488,0.393936662699555,0.406512458439467,0.528442647725954,0.509450696173517,0.504302151209812,0.463483452306056,0.47126538965409,0.469239585220285,0.454884941500339,0.455764988537707,0.45787235472746,0.462628693948848,0.477416044536337,0.496704821428433,0.44772213921994,0.45587896879046,0.489725474421304,0.478698615660044,0.48807101346026,0.444944881123655,0.479880596087997,0.503993544821664,0.448679832078434,0.507782255942095,0.497870335817993,0.49062139660052,0.468244532586987,0.439441773428438,0.471207817398154,0.478959553550485,0.448264253584961,0.443642875356169
"E4-2_Root",0.503569575710561,0.510395594229589,0.437367590980104,0.429167687338653,0.445009552629237,0.464190145374714,0.462799449909815,0.459046989918404,0.458195373619914,0.431624104894521,0.47556981551938,0.409102936003589,0.127868411201841,0,0.465441401958614,0.42729053829959,0.51441474971549,0.507253680195177,0.459035054274057,0.410048826001914,0.422749095405072,0.407682521503901,0.441295297954465,0.465526618218327,0.403537256075342,0.402119256033184,0.427156992186673,0.43749606567028,0.420864050358496,0.391438530967619,0.400580076378736,0.39902750587789,0.541704266794315,0.552332873201588,0.412928204648385,0.415115864480211,0.498725654413134,0.388996477423138,0.390597527231926,0.432211172644925,0.426576472813268,0.352517739716665,0.3715111585523,0.502976010779076,0.484192310643912,0.483486779227966,0.444630568920446,0.442996623018382,0.440322057697975,0.428884285540023,0.429378949816373,0.427550250700664,0.433517792187188,0.450091286262434,0.469337064778897,0.417207098964178,0.427568622163155,0.466256040924427,0.455750537846143,0.459927933297907,0.415062142566825,0.448119690138255,0.475329239031088,0.419565373724447,0.48051418479966,0.469735048097102,0.461137031624117,0.4383957512557,0.408801767720072,0.445409062797728,0.453472162151251,0.417880624402326,0.412580651062146
"E4-N_Soil",0.442257068089926,0.450560791152824,0.334714020962769,0.328501158050861,0.446877719122719,0.481100739222828,0.365145274337334,0.429339715793783,0.390166827408985,0.363265342751678,0.38521957865345,0.296591882675391,0.493593310824067,0.465441401958614,0,0.306295551056043,0.459946145330124,0.452649236667294,0.365583180885536,0.28944698473334,0.355079290087131,0.329704148260011,0.311494820377549,0.369921189294594,0.357496201886588,0.345435747187796,0.317325932967015,0.329424227289114,0.479708334062638,0.4354664072781,0.282603302510226,0.319409660214441,0.487588405209096,0.497614051526954,0.304087478280078,0.306736999979256,0.429543884106438,0.414228387368593,0.440933184721532,0.357182157153923,0.493449913183575,0.367129560454013,0.364764206967282,0.429962390953619,0.399452705955329,0.428418243573521,0.396206126332884,0.342468725136346,0.333007662310968,0.349591136909314,0.349266060219131,0.302706749233663,0.293346326494083,0.373779183473552,0.393057445905302,0.310222272413651,0.327746640001256,0.408836354525848,0.397667502197745,0.33302820061414,0.316769957269786,0.390538949915817,0.413614896926042,0.298647291884719,0.394083317651116,0.402705179742187,0.395230090593582,0.347760261739767,0.298748928193063,0.376280381198346,0.385417304776414,0.311325808181746,0.287623802923127
"E4-S_Soil",0.400737895186872,0.409532341978394,0.262532518221227,0.272228927696867,0.408059359298421,0.446035289774986,0.299959468107895,0.390400166047027,0.342857568032126,0.308862993833654,0.341816250239655,0.238308067343689,0.45674539496905,0.42729053829959,0.306295551056043,0,0.425974078092649,0.41718945345048,0.320563176266049,0.227551210166472,0.296101359585333,0.2680884773409,0.247734674340739,0.325296535436278,0.304751946421055,0.290028494128823,0.259194264559491,0.280619400156035,0.445699619750041,0.396636891031475,0.213902151200135,0.264559700238047,0.448392110011218,0.459799263530587,0.223020874444979,0.227943993616197,0.389768743631265,0.367188879506267,0.39907506001204,0.285004609438652,0.460845570473539,0.310481787639142,0.308413641827266,0.389662001345156,0.351748171683209,0.378108002728956,0.333592051095328,0.279432515557619,0.280151519106258,0.266081876370411,0.268601804559917,0.214101044564817,0.199894552744834,0.324623480667088,0.348463734761234,0.232538695982277,0.249681845527418,0.356386970062486,0.341253714142588,0.284374053038078,0.257447969527936,0.318580178257021,0.351235434628766,0.20399024928657,0.354824508891721,0.358161267221342,0.349635557447423,0.279169556015615,0.216998617310288,0.323093228119516,0.33448765720166,0.243870606134036,0.222222060052226
"E5-1_Root",0.501851659393325,0.508371269978951,0.430099854958373,0.423331482495296,0.500962417914651,0.534663134128512,0.45465830814498,0.496514454918608,0.45727750277312,0.435525050836871,0.461429908520505,0.399992059524618,0.526376031410376,0.51441474971549,0.459946145330124,0.425974078092649,0,0.0785992314779973,0.43923350211936,0.398641197174286,0.382689838969934,0.363472166422432,0.433644607228706,0.460869713573008,0.42552746233521,0.41523747724263,0.428617782427429,0.425461991122682,0.531088452172624,0.49175167650216,0.392257166338257,0.424298469929554,0.534397704684058,0.544794474501951,0.407209078187108,0.408533214505639,0.496912411262601,0.476949132986574,0.502735099226573,0.438272785222858,0.553490570243036,0.432191999483389,0.428798932000167,0.495830407068154,0.474582470089428,0.490509803815369,0.460079089483566,0.43569288519013,0.42884435227677,0.413890519255684,0.412483613271065,0.417239167283287,0.428404359942342,0.440035110503835,0.459602435352652,0.409661037043794,0.426592115249979,0.463327633017591,0.453822043672474,0.452567927972653,0.411102125009597,0.465937443394417,0.484788848831224,0.418673784034798,0.472977029538255,0.463917684530599,0.457157176306484,0.437209482326489,0.401481808517193,0.439913945782348,0.448869376452163,0.408177920518418,0.402560780753845
"E5-2_Root",0.490799174178353,0.496748059650342,0.421088251217832,0.4132550213556,0.492584712534993,0.526983425842615,0.44531883241279,0.488563494962752,0.450931608317159,0.426437624466722,0.461665191906052,0.389946786869159,0.519183076844048,0.507253680195177,0.452649236667294,0.41718945345048,0.0785992314779973,0,0.427188232666085,0.390381303404523,0.375095318338947,0.356409701960725,0.424337416650457,0.45266856352193,0.416414053168843,0.405717945975431,0.418928508255944,0.417785156582265,0.525212636020563,0.484302417273727,0.382513701261428,0.41432597012441,0.528863563093852,0.539543428747483,0.398324674082795,0.399487095432592,0.490061885472035,0.466271204756573,0.49367326538164,0.429533641611601,0.547738323238806,0.421425148686346,0.418521168076757,0.487649635093634,0.465411369842066,0.479447763696628,0.444952659302956,0.425091634012868,0.419540705059635,0.408127853473662,0.407127556073909,0.407454127314987,0.419977266336724,0.429480097750054,0.451063123024036,0.399988385802709,0.417916163362676,0.459301740334546,0.448724243025638,0.445409358766998,0.402013270884819,0.457953520995813,0.477624596062148,0.409495449748634,0.46448873856407,0.452048209080923,0.445697891657594,0.428562655968835,0.391477639247669,0.431344306572027,0.440413282537487,0.401920316385612,0.396379042004325
"E5-N_Soil",0.425407129795813,0.433974284929582,0.325905868040186,0.318847952529357,0.42587919926152,0.467090761262727,0.361202953288694,0.416835310775471,0.361110063761375,0.347476166453164,0.310387565546841,0.292543353515555,0.486817482373148,0.459035054274057,0.365583180885536,0.320563176266049,0.43923350211936,0.427188232666085,0,0.268147517905511,0.337018587854665,0.309421290974932,0.323680533707239,0.364753826343885,0.341581877185956,0.326540424690272,0.320203318900106,0.318204561046081,0.467149434274197,0.421090456900266,0.273843689595089,0.316402260492139,0.473461815217081,0.482062175722339,0.28509455093999,0.288548231555544,0.420917724043459,0.393442006681368,0.423362166517398,0.33506708909901,0.485395041981627,0.336147525049887,0.329755107735259,0.392087390941794,0.367925024870514,0.409033399139519,0.37384596183475,0.331058210316395,0.303650168061844,0.334031251769874,0.332327697382868,0.301282884173078,0.316550143724682,0.356822612491945,0.377417939557075,0.302803249263038,0.324552761562789,0.373078347541492,0.365247099322747,0.348390738907858,0.304919609397283,0.384784105569488,0.406286319787534,0.306887477923512,0.37457429918327,0.379422134047695,0.369672831189962,0.337222109975865,0.290006904776347,0.337674235337269,0.347724211118789,0.270506999979117,0.259442026954558
"E5-S_Soil",0.376444855770686,0.38587384051319,0.236864746371938,0.240427274104827,0.385488405735717,0.424775708696738,0.289626831836037,0.361528797873275,0.304153862877101,0.278070530012895,0.266999228961354,0.190111445515402,0.441558841585698,0.410048826001914,0.28944698473334,0.227551210166472,0.398641197174286,0.390381303404523,0.268147517905511,0,0.270735084649175,0.236169334340775,0.224225859992741,0.299091701469465,0.271653069689597,0.25450210983733,0.224971333939628,0.236420374574592,0.421141194331154,0.369253405655297,0.149303657872934,0.214307446846263,0.429301520271494,0.439780490898279,0.186264293984106,0.188832771845743,0.365485475022204,0.347468567145594,0.378677714614009,0.265421060088668,0.438481490025766,0.28339266426227,0.278059172195378,0.349301408408203,0.321270024580384,0.359571148474066,0.320272863041164,0.249730043439802,0.231308827269773,0.261236966310684,0.258737627620094,0.195593852129111,0.205167255250116,0.294922090476143,0.317793941748069,0.203355991683775,0.230372644072725,0.325270365413448,0.313043242591693,0.25760572182728,0.216896380355969,0.324594636159367,0.35201030746797,0.20598449687424,0.328014510302235,0.328090235918778,0.317565118284145,0.243252712768104,0.189408498117879,0.283250503277827,0.296096114050428,0.177848962672372,0.153818928200262
