#OTU ID,E1-1_Root,E1-2_Root,E1-N_Soil,E1-S_Soil,E2-1_Root,E2-2_Root,E2-N_Soil,E2-S_Soil,E3-1_Root,E3-2_Root,E3-N_Soil,E3-S_Soil,E4-1_Root,E4-2_Root,E4-N_Soil,E4-S_Soil,E5-1_Root,E5-2_Root,E5-N_Soil,E5-S_Soil,E6-1_Root,E6-2_Root,E6-N_Soil,E6-S_Soil,E7-1_Root,E7-2_Root,E7-N_Soil,E7-S_Soil,E8-1_Root,E8-2_Root,E8-N_Soil,E8-S_Soil,E9-1_Root,E9-2_Root,E9-N_Soil,E9-S_Soil,Neg_Control,P1-1_Root,P1-2_Root,P1-N_Soil,P1-S_Soil,P2-1_Root,P2-2_Root,P2-N_Soil,P2-S_Soil,P3-1_Root,P3-2_Root,P3-N_Soil,P3-S_Soil,P4-1_Root,P4-2_Root,P4-N_Soil,P4-S_Soil,P5-1_Root,P5-2_Root,P5-N_Soil,P5-S_Soil,P6-1_Root,P6-2_Root,P6-N_Soil,P6-S_Soil,P7-1_Root,P7-2_Root,P7-N_Soil,P7-S_Soil,P8-1_Root,P8-2_Root,P8-N_Soil,P8-S_Soil,P9-1_Root,P9-2_Root,P9-N_Soil,P9-S_Soil
825a46f1f5a8472cc0c66aa1c6ba2576,543,678,153,17,354,260,86,18,0,0,0,0,256,254,6,0,378,194,908,42,290,511,513,7,0,0,0,24,0,7,82,6,1585,1741,18,790,0,1748,1721,613,171,210,323,163,15,291,377,110,116,4148,3900,527,1363,1201,1695,530,235,1017,1299,268,845,1344,1297,1379,539,9584,8149,454,106,5473,4464,1486,24
b7d26965c00476a45608473ec2b629e4,0,0,0,0,21,6,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,43,35,0,0,0,2200,1820,0,72,0,0,0,0,26,53,0,37,0,0,0,0,237,269,73,2,0,0,0,0,0,0,0,0,12193,10324,251,109,12369,13045,273,0
c640a092adfcf84aeecd604599e48099,0,0,0,26,1340,830,890,1789,0,0,4,5,718,391,413,0,862,537,4137,0,33,150,440,27,0,0,0,3791,0,0,4,0,885,851,7236,2470,0,8886,6249,57,397,5205,5561,468,10747,1233,2573,2444,10037,9,12,0,32,13,0,0,0,1356,1279,0,2671,0,0,0,0,82,51,0,1028,5,0,0,0
c3548275d90af738478bf4c3989b0be4,0,0,0,0,104,114,0,0,834,1272,0,97,486,558,0,0,0,33,0,34,0,0,0,0,0,0,0,0,2,6,4,15778,511,580,5,0,0,7535,5314,0,0,0,0,0,0,117,637,0,0,3,0,0,0,502,321,0,0,0,0,0,0,13037,10493,0,66,7486,6975,2,0,6426,5572,118,0
8e0f978791a95d8879b69d87d21beedf,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,42,0,0,0,13079,21971,9018,5379,0,0,16,7,0,0,0,2584,3,16,0,0,0,0,0,8
09f5ddb283ff93c86ecedbc9aa03af93,0,0,0,123,0,6,0,20,0,8,173,515,12,0,294,170,0,0,0,966,439,718,12275,791,0,0,17,1616,0,14,2634,38,4,0,117,764,0,0,0,0,0,45,59,601,35,65,86,0,1957,3,7,401,11889,0,0,9,0,75,27,28899,449,0,0,0,0,0,0,20,242,19,14,145,1373
7001f57a94e1ebbb4f783db17704cb1e,7,6,0,222,3992,1784,0,0,130,207,0,20,13,4,0,124,5948,3183,7,3,8266,8605,0,81,595,418,3,13,9,5,0,0,365,305,35,0,0,19,9,0,0,0,0,0,5,0,3,0,32,4781,4996,4,9,8,0,0,0,1720,2587,65,115,0,0,0,0,15,12,0,0,974,839,0,0
33126c4c53d281993dce9c30541b7c35,0,0,0,0,0,0,0,0,0,0,0,0,4347,1710,0,0,46861,33394,0,0,2233,2198,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,126,106,48,0,235,594,362,0,0,0,0,0,0,0,0,0,437,273,0,0
d1356890da3888a304c2752bdb37d4a5,796,620,834,471,116,168,508,1034,1938,1894,2373,1682,78,63,150,871,125,90,1496,923,453,1204,33,406,320,392,1333,1304,632,836,2830,607,317,310,3421,2026,0,708,504,1471,3132,690,954,6621,706,444,1195,336,735,57,77,417,86,1042,1913,1188,370,773,1081,1974,2544,614,440,608,1507,3642,2882,1654,3510,681,552,847,1703
9a0ba0380d45a4baa6d98595de0eab2e,1280,752,3780,245,189,200,9129,0,7,0,11,112,316,253,2262,10691,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,12095,14326,6441,11516,461,506,2971,4845,0,24,0,0,15152,11987,13294,0,0,0,0,0,0,0,0,0
4a48dcd68455d237d3154fedd4880621,0,0,0,0,31,10,0,627,0,0,0,0,0,0,0,0,228,241,32,2261,228,202,462,0,0,0,0,0,1825,2197,2104,4215,0,0,0,0,0,0,0,0,0,467,116,6,7,102,266,1745,0,0,0,0,0,3,0,0,0,180,257,0,1923,19,3,18,0,0,0,0,0,9189,6122,1030,889
b1d559d7b45814f28f232e86e2ef4b50,400,7,140,0,0,0,0,35249,8,0,8,67,0,0,12,5,24,8,47,0,0,0,10,0,0,17,57,0,0,0,27,0,0,0,123,7,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,25,9,0,0,0,0,0,0,56,21,0,0,14,0,0,0,3,0,0,0,14,25
92d276092d8d322080ffd78020b85ead,4719,3106,0,0,318,297,0,0,29008,18712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11075,9741,0,0,10,0,0,0,0,39,398,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,56,877,2016,332,0,0,0,0,0
10ebefc48a11d62a78b22ff6fffdd6de,0,4,17,218,1269,273,3,49,408,292,57,0,0,0,0,4,322,475,24286,5,62,291,37,3,12,8,3,0,236,129,0,0,7,15,14,3,0,5,0,0,171,110,134,654,0,5,4,0,30,335,432,12,0,0,0,0,0,35,37,4,4,0,0,3,3101,54,31,40,48,795,671,0,0
1b3753029acde9bf8c79555f4589fcb0,29,0,3,0,11,9,7,18,9502,11079,1099,2822,127,101,298,365,98,82,19,192,418,496,6,44,170,673,7,0,0,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,76,9,13298,0,0,0,0,0,0,0,207,0,0,0,808
7ad71cbb47cf0cf56c528091a58290e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7062,6001,23371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,145,0,0
692645085887ea1131e21f11e3b4dabb,0,0,11,158,0,0,0,0,0,0,7,56,0,0,0,0,0,0,53,0,1228,595,14,29489,0,0,4,30,0,0,4,0,0,0,0,6,0,0,0,6,0,0,0,0,24,0,0,7,20,0,0,4,8,0,0,0,2,0,0,0,0,0,0,0,0,12,8,0,0,0,0,3,3
df7d6544dc10170a1add9f238e11c0e8,0,0,0,0,0,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,716,17,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31532,5147,5884,7439,0,0,0,0,0
808baa2d59c91fce59a9f23b3e7dd006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16284,13297,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,29,4,0,0
6edcbb67e4ed03feede997d98643b184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,5,0,0,26,9812,212,0,0,0,0,0,0,0,0,0,0,200,0,0,3,16,0,30,0,0,0,0,144,95,0,17228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,70,2203
6e5f85d95eb1ae9d2fec06081ed1f629,330,237,586,0,16,20,1494,18,0,0,26,29,0,0,0,0,0,0,0,35,76,37,514,35,63,41,471,710,0,28,66,223,21,0,717,320,0,1726,2233,6963,236,32,60,379,187,85,182,788,129,98,119,6287,92,533,728,6618,4883,29,28,1172,159,25,13,130,199,522,769,1502,4819,14,53,766,143
b67e5366bb86d4f6e7a03b94a0ddca71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2818,1479,0,20566,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,396,0,0,900,1900,0,0,2,0,0,0,533,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3813abdd4a308c0afcac77c3ef273648,34,51,9,0,18931,9583,10,4,6,0,0,4,0,0,18,0,0,0,0,11,0,0,0,0,0,0,9,7,18,13,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,3,6,25,0,0,0,0,34,69,0,0,0,0,0,0
9e5e5865b2c7fc31638667ff87599a03,0,0,0,2,0,0,0,0,60,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,14659,13617,0,104,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,21,550,500,393,31
1d14634da8a0198280011acdbae200b3,949,666,1065,139,49,43,1369,682,0,0,0,0,0,0,0,0,160,149,33,106,104,411,1298,0,5,0,222,17328,0,0,116,25,0,0,0,0,0,0,0,45,8,32,21,580,93,6,21,1671,128,0,0,279,0,0,6,20,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0
933cd423139e139a3249c2615214c21f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,33,0,0,0,11284,15739,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b77f399678d0001c5a42fa1d68d276d4,7082,4251,40,17,19,23,0,70,212,145,0,0,0,0,0,0,138,188,2447,1390,3058,2539,69,0,1720,1720,323,0,4044,3935,0,542,182,191,0,0,0,105,365,0,24,5476,6319,43597,219,194,413,0,0,61,270,0,0,458,413,0,0,0,0,0,21,0,0,0,35,40,59,0,0,974,734,14,0
4b31fb4fcb71b9395b333cbdda40629a,126,88,66,0,0,0,0,0,1645,1252,5,167,0,0,0,10,0,0,0,7505,0,0,0,0,1272,1251,856,0,0,0,0,0,0,0,0,229,0,17,15,497,0,0,0,0,0,0,0,0,0,4129,5538,0,1716,0,0,3,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0
107e8be0ada543ca1b1657cc0e33a03e,17,13,618,369,0,0,353,222,0,0,0,0,0,0,236,868,0,0,227,164,6,36,493,1666,0,0,329,784,0,0,142,93,8,0,1725,980,0,17,25,2912,25,25,19,256,644,4,0,334,521,16,15,806,1393,0,14,252,126,13,12,4348,701,27,55,919,21,18,18,310,1328,35,22,933,948
