"","E1_Root","E1_Soil","E2_Root","E2_Soil","E3_Root","E3_Soil","E4_Root","E4_Soil","E5_Root","E5_Soil","E6_Root","E6_Soil","E7_Root","E7_Soil","E8_Root","E8_Soil","E9_Root","E9_Soil","P1_Root","P1_Soil","P2_Root","P2_Soil","P3_Root","P3_Soil","P4_Root","P4_Soil","P5_Root","P5_Soil","P6_Root","P6_Soil","P7_Root","P7_Soil","P8_Root","P8_Soil","P9_Root","P9_Soil"
"P4_Soil",78.0965294918319,82.3569408320468,82.1629535835031,79.8103358366101,94.3270164894382,94.0367235872446,81.1332457146322,77.7673945061632,88.7463247921331,81.1125761863092,91.7501497212993,75.4460776270564,87.7997187530077,75.4915435244301,90.8164150549969,86.7534855996939,79.9545890748542,79.9541089526771,77.9018997104694,84.7901328302244,80.4640033999356,80.7164174388097,80.183349584341,70.7128540802172,74.1574061201352,0,88.944471618588,82.5484871115191,82.402127399675,80.2582803688853,75.5680818667864,80.2789392667913,82.6143040188254,85.6002281094969,80.9730798270711,87.7533286826604
"P5_Root",71.2644472535365,95.7293339590583,72.2205883997868,84.2715746980753,84.993637922869,97.2913092367384,74.795501274349,93.1364186028628,76.2232835264306,91.1018509941141,86.4838628248286,88.5917917889618,81.5008561180543,91.6482110212507,74.3717348297263,91.4914169803627,70.3022698588236,90.9396067962734,60.687986261537,68.1754061404169,73.5953354286002,83.8588394722661,72.7599808897411,80.6621402507083,71.3245420497277,88.944471618588,0,59.0167497582892,71.3789273497283,90.380400991174,68.374441462326,80.6150534537198,62.1009993319338,80.0539683519367,68.3257276013085,89.1724184919265
"P5_Soil",77.2240729179273,90.4925286530072,80.7638708265164,79.8144567095494,93.9294077473303,93.8558147017667,82.4542193988537,89.1688072035784,88.1732732323563,87.3542876030006,93.9832039264283,84.9999591217272,87.6821415549441,84.7878983188895,85.975326554476,85.5901341861437,78.2249406742441,84.7776777275917,69.4483618405992,73.6003281104922,80.6191329913857,84.6136692984483,78.538125523252,72.4649559607882,77.7493353019997,82.5484871115191,59.0167497582892,0,79.8473381527574,86.9494502593544,72.4360503342807,73.779091914266,70.6987025515892,75.7850302921685,75.6440010545515,85.3732155581487
"P6_Root",69.3205635532717,89.1243633620991,58.6913411977618,81.9531592109396,77.8295672578152,93.2256807602108,57.8670044364894,80.114839969915,69.2157718306728,87.7088029688961,73.9552709869885,78.6824496930103,68.9916972618517,82.8548126391988,69.6427980081455,88.1978984869942,54.848560992318,85.7991591373121,55.5288569011364,76.0724383339436,61.3550575911862,79.3478980944245,62.5498319658514,74.4401676274818,57.8366743440464,82.402127399675,71.3789273497283,79.8473381527574,0,76.7842216095549,57.0603032451347,80.2579029773423,65.5760198415636,82.8841188637176,61.9883131965016,88.1458429060815
"P6_Soil",84.7011815917074,90.2974381219308,88.6579790997633,85.5745948585565,97.0155065087738,95.4573675656184,86.4856984759477,80.7738241286014,91.01931523105,89.5153987564815,92.4880044678782,79.4436846608791,91.3341012800282,81.9443998047457,92.1008959869261,89.5767673238529,84.0577687184251,81.5367410815242,82.1128804263079,82.7668718847764,84.8894735449056,84.8384909802213,85.8641070345903,79.9356235292493,86.7754160254504,80.2582803688853,90.380400991174,86.9494502593544,76.7842216095549,0,83.6590319642291,88.1465827558731,85.640860083986,85.962731941008,84.1205310126004,89.9012683328679
"P7_Root",61.1861721120471,85.4714324337177,53.268383062213,74.9735295727244,71.2856660186461,87.5223472603028,52.9001376337004,78.8756584190587,70.4123967170227,84.4711909495473,74.2580674281039,76.2834481882387,65.6675542790121,77.4627940257084,66.961424184559,81.7132828117925,52.042451374869,83.0659837455844,51.3587760596522,75.2659801704066,58.0185779050471,78.970869453549,56.5709266078569,66.8714489012038,55.7330699398533,75.5680818667864,68.374441462326,72.4360503342807,57.0603032451347,83.6590319642291,0,65.4713149760712,59.3381975316504,80.1974538646626,57.6258498447066,84.1005937442938
"P7_Soil",75.8693157937931,88.1186970240851,80.7038733762098,78.1736252463142,89.4454810341912,87.7520369070583,80.3586783065207,82.490359757506,87.4478679931892,82.8438687117429,94.0241935203174,84.4382446911485,84.3799946510982,79.9800641621492,82.5455795985717,79.0711620403908,77.3637116338415,81.7487165498609,74.2155950164887,82.3983216193416,79.452610699579,82.485454453778,78.2803608675883,73.1863280631292,78.0197009875723,80.2789392667913,80.6150534537198,73.779091914266,80.2579029773423,88.1465827558731,65.4713149760712,0,73.8468083598953,78.8291080538249,76.0392480111931,84.8168539445386
"P8_Root",65.5484638227671,89.6435431771368,62.5438390491234,80.2477851222487,76.8361527584974,92.7164325324382,66.3384517026471,87.7017414918039,72.8237013973961,86.1629456390037,81.0546235617066,82.6241980164113,72.9483216629159,84.49069398989,72.7606764102206,85.4740208135506,58.6977843758158,84.2586639179528,52.9136133483614,69.7845171793015,67.1855818225311,79.1382649542443,67.7900447303835,74.1933182893122,64.7890672865327,82.6143040188254,62.1009993319338,70.6987025515892,65.5760198415636,85.640860083986,59.3381975316504,73.8468083598953,0,64.7110436954666,55.9281854391504,82.2680286986255
"P8_Soil",81.5815696510018,93.6654720778085,84.4197132040642,82.4845087787845,91.5545976922526,90.833176730552,87.1769920231293,88.1316624033625,88.8204067774685,85.6239727397301,93.6778349751634,87.8279913657053,87.935102503888,85.3299764395312,85.7365330267849,83.8627460969418,80.1231338056024,79.6124361956637,74.1833248333279,75.45441624624,82.5508420568392,82.6231439224547,85.7855270437918,79.1106703698792,84.0951230416075,85.6002281094969,80.0539683519367,75.7850302921685,82.8841188637176,85.962731941008,80.1974538646626,78.8291080538249,64.7110436954666,0,76.0799973526956,79.4681112322996
"P9_Root",66.5705721254907,87.1514288400615,59.6239025039361,78.0395130835926,72.7399652050158,89.6646250928845,62.0435188705867,83.2363246581921,69.0200952395771,83.8783382381903,75.5996083071208,78.1656247085843,71.9918691018923,81.8198719770894,71.9714153115136,84.4074748131905,51.9909849972644,81.3755055363918,54.3109637744588,74.1925744277742,64.8067202122878,78.9463507781483,63.620156639465,71.4278520072877,61.4242787120242,80.9730798270711,68.3257276013085,75.6440010545515,61.9883131965016,84.1205310126004,57.6258498447066,76.0392480111931,55.9281854391504,76.0799973526956,0,72.1603719002178
"P9_Soil",85.1822352378427,91.0336118668185,89.0268254892154,85.4914021195723,94.3688031049653,91.3344186568766,88.7025931969946,87.5478469493037,91.1883940051996,89.4729028638678,95.9339303325472,85.5985155845494,92.8471493041909,88.0429285627852,90.9074516949474,88.0816523909229,82.0814205372401,77.9962997266156,82.8678828043644,87.1877898351618,87.9146482454085,85.2797986061204,87.5626395402749,81.5696733465002,88.7623245895045,87.7533286826604,89.1724184919265,85.3732155581487,88.1458429060815,89.9012683328679,84.1005937442938,84.8168539445386,82.2680286986255,79.4681112322996,72.1603719002178,0
