"","E1-1_Root","E1-2_Root","E1-N_Soil","E1-S_Soil","E2-1_Root","E2-2_Root","E2-N_Soil","E2-S_Soil","E3-1_Root","E3-2_Root","E3-N_Soil","E3-S_Soil","E4-1_Root","E4-2_Root","E4-N_Soil","E4-S_Soil","E5-1_Root","E5-2_Root","E5-N_Soil","E5-S_Soil","E6-1_Root","E6-2_Root","E6-N_Soil","E6-S_Soil","E7-1_Root","E7-2_Root","E7-N_Soil","E7-S_Soil","E8-1_Root","E8-2_Root","E8-N_Soil","E8-S_Soil","E9-1_Root","E9-2_Root","E9-N_Soil","E9-S_Soil","P1-1_Root","P1-2_Root","P1-N_Soil","P1-S_Soil","P2-1_Root","P2-2_Root","P2-N_Soil","P2-S_Soil","P3-1_Root","P3-2_Root","P3-N_Soil","P3-S_Soil","P4-1_Root","P4-2_Root","P4-N_Soil","P4-S_Soil","P5-1_Root","P5-2_Root","P5-N_Soil","P5-S_Soil","P6-1_Root","P6-2_Root","P6-N_Soil","P6-S_Soil","P7-1_Root","P7-2_Root","P7-N_Soil","P7-S_Soil","P8-1_Root","P8-2_Root","P8-N_Soil","P8-S_Soil","P9-1_Root","P9-2_Root","P9-N_Soil","P9-S_Soil"
"E3-S_Soil",75.5838156798247,74.8400971178892,72.5990276792006,84.7293182564852,77.6866795246028,76.7426583059704,72.1219572352773,75.0224758977201,70.3662722267802,69.3004018787193,65.137795789055,0,76.3630991721203,76.7797373144498,73.7107518061581,72.4272104377435,78.0939280104048,77.6157311088896,75.5237618166834,74.8504652833273,83.6716953976675,86.3549807742999,74.9195504900824,77.878699218391,78.7300665045711,78.0937090502937,76.4263388993937,73.2879945038953,77.9439140773844,78.7510085544881,79.2668392445922,71.5545376446233,76.6691012183893,77.7422225153846,76.2155776548041,77.1279296428461,75.574172401642,75.6461655965696,79.5377145094552,79.5171699832481,79.0591391790657,78.4198578208389,78.8823888243747,74.7988260484196,77.267998571427,77.4645337870327,77.0306625822914,70.5630894029646,80.1223132474358,79.853243020465,77.1946265054443,78.485112709432,81.3472887432828,80.590635108669,78.7779735266901,76.1343628665049,79.4193471989959,78.8622567590793,84.2344061500701,77.6846248188754,73.2570530909892,74.05367010588,71.6982201461867,74.7485070324922,78.3890588862086,78.23320351904,76.7648128945631,76.8928365145376,76.334620075952,75.8789712208851,75.1976959395955,79.2881205921636
"E4-1_Root",54.5616332794575,53.9987919743284,69.0829012447641,74.4066901779597,48.4881393804007,47.8346303851017,66.6689303622201,66.7464161542501,60.5677155451708,61.4302578519892,74.0034180726652,76.3630991721203,0,15.2740095871515,59.7375249257146,67.1195730226201,57.4387642667785,57.5016804851097,70.4442302274602,75.5720915936449,58.1234264309758,63.4035372749904,64.284309160629,64.2017791985609,56.8909418453563,58.0520586014687,72.4645874710515,64.5197091383627,58.8755774265464,62.3688929943566,80.7469857335192,66.8472026545064,47.1201818401663,47.4714277180772,74.3240741779822,73.2710745800865,49.1385751698181,49.516344627294,59.4935170829766,66.732622866756,50.5397397569843,51.1178838307717,71.1598872721822,61.8498604885347,52.5289314490647,54.1771087117247,62.6873288756332,61.7398814997408,51.9118853597872,52.248137705276,70.3623057095403,65.7406058932428,63.2081206187191,65.0893018977183,70.8417766243803,66.2408360579094,49.710431452215,50.4334036634575,70.9233457301562,71.3336490347942,45.5166041384765,46.1532076417651,64.1145629426329,68.01937706858,56.7099433506404,57.8923456247838,71.3136697334064,73.3700297070296,54.9956184748054,53.9325929207251,71.5335118956718,77.2420755686367
"E4-2_Root",53.9789450210431,53.5792966700043,68.1896983673209,74.5914250183651,47.9434669229441,47.1275120055895,66.1631833827147,66.5263384645639,59.9627866520531,60.9547734709231,73.971738644629,76.7797373144498,15.2740095871515,0,59.9607389830064,67.581898486528,56.8413399981306,57.1815006252555,69.98947548556,75.6178196420279,59.0702441057153,63.9174312094957,64.4909465384281,64.5769441350545,56.8183928262418,57.8539984175322,72.7325182999011,64.8717502348767,58.3326173744957,62.04706178904,80.6421525306826,66.7149795663789,46.9952142537832,47.3646023454072,74.2945822928222,73.4605082219428,48.9862207160987,49.515086811983,59.0976237170461,66.5430265302067,50.84868421825,51.3269752541266,70.8157157177276,62.660570015491,52.4701209604728,54.4699260574198,62.2803260683842,62.3000309868548,52.168154773496,52.4836252886968,70.1393483677003,66.4977887161494,63.2803455340632,65.0657131201334,71.3284985471201,66.4355021929998,49.5220392614387,50.6903660628544,71.7976967907785,71.2954784111665,45.2650848600076,45.8973690657389,64.0692557642016,67.5738517211378,56.0499949147391,57.0822380112703,71.3516484077066,73.1488914110327,54.4608418463473,53.1301316759703,71.5579408302557,77.0723420112721
"E4-N_Soil",67.1556921520103,67.4067742741127,65.9355206597167,72.6287646169746,69.1606012358832,67.5641355628583,65.0047726186616,68.3584013925652,74.7728424050883,75.4166338146356,69.1691121919948,73.7107518061581,59.7375249257146,59.9607389830064,0,58.9049325469256,73.0828312120548,73.4934275536511,70.9415590332916,67.8744254143761,73.4564404589783,76.3698584933008,61.0130557841288,59.6169454124345,73.4298857747686,73.4176792565309,68.3123890225782,61.8164831284153,72.9905794910671,75.8143450199425,77.528403243666,67.4078855083525,66.8563774051968,67.8430638351462,69.6821658776796,68.6986096208532,65.7116382054541,65.5124750186624,65.806603160253,74.4808097382782,67.5811030414643,67.3807855682469,74.3054170773799,60.2999205938709,67.0296320571175,69.0621197548576,64.7604704025837,61.3943275164618,68.1025549650182,67.2366637086649,64.8401106992182,61.1800623730833,76.0130951119015,76.3827709351051,73.5007546621871,69.5630736498254,66.3536758330837,65.7048144170617,66.3884904812125,65.6321712465453,63.7269518134291,63.3521355532583,63.6977979207717,71.4385995785939,72.00158941902,71.8596281338618,72.5808197058434,74.4410913318642,68.7237356769976,68.7449303623638,71.0237968946281,74.3386195090352
"E4-S_Soil",69.1114329736127,68.9784783047464,66.107568024174,74.1520459285085,70.028360883475,69.190972878272,66.4542672468903,69.8481637761549,76.4025518812571,75.8512533434097,70.1184447669841,72.4272104377435,67.1195730226201,67.581898486528,58.9049325469256,0,74.5796260057643,75.2035563368537,71.492420504297,67.5117112360796,75.4359831041464,77.9038200882694,64.0613090137877,67.1933314264761,73.5011660187303,73.8166999810209,70.0815877437011,65.7118822785775,74.026081788612,76.1276086122045,73.9251558247203,68.2541603672624,68.9516473365668,69.5412903217528,69.7366610589547,67.7788510845693,68.4521134717354,68.2725978202054,70.7072665021572,75.5490912898261,71.2755355310694,70.5542503108451,74.115650465458,63.4191403361968,69.7600347310344,71.0783500903597,68.0955498077813,62.1166593346395,69.4324643817729,69.015708966598,66.383469415303,63.0135774673854,77.4712777622728,77.2343193345973,74.122507229043,69.8335126255761,69.2529913793265,66.7825850565301,69.8776253365171,69.0944256167826,66.0108198854941,66.0850828717434,65.3424587834514,70.6740672150617,73.994347037477,73.9864703881628,72.6207591520098,71.0565419327311,70.1652572881588,70.3668138943557,71.3431742299419,73.284926413501
"E5-1_Root",59.5553696126496,58.8628881018821,71.7576977209077,79.998957811787,56.2739949810113,55.0163369390096,70.2083154500422,67.732635835367,63.6728840739645,64.3420095193997,77.3357085485507,78.0939280104048,57.4387642667785,56.8413399981306,73.0828312120548,74.5796260057643,0,20.0912333194674,61.4395151215878,75.3181967307612,64.8987495807442,69.0657354380882,69.4594110452041,71.9021048881413,63.1102776567161,64.0902749967214,78.2933811975316,69.0069274575107,56.6542540682832,59.5351338669914,81.2299994459387,72.1419883057485,57.1728917931593,56.657955061446,76.278900484882,75.7532448847879,59.0212688968697,59.9796391913763,66.3920162876851,68.5592549150985,58.2248522948097,59.020192899706,67.9988268460235,67.1755966672254,60.2092650068569,61.5365266520601,68.3482497810165,67.1646705243007,60.8635235010101,61.195265124833,74.3249186517023,74.5239236199768,65.0317248478831,66.5713120335628,75.4675691960121,72.6283643571803,58.2514287887934,59.0278906555224,76.2948018144884,75.2782299992499,60.8317156181039,61.0168032668047,72.7822733534161,70.2867999400437,62.4138256469516,63.3681181167648,74.7653317371468,74.7467028895526,59.3666037547348,58.9852923569578,73.239293753395,79.3978087572429
"E5-2_Root",60.2706091221836,59.3005985676843,72.1205150182894,80.4879943547418,56.4353673516356,55.0380762416198,70.7525930899876,67.7287271260396,64.1217743260426,64.4842248451542,77.5286529266395,77.6157311088896,57.5016804851097,57.1815006252555,73.4934275536511,75.2035563368537,20.0912333194674,0,62.0000587540742,75.3642366401537,64.62844013307,69.1112193959126,69.4745658727739,72.3297938601963,63.6513617672895,64.8262480228937,78.4776580550918,69.2687780335805,56.492166335143,58.7752854674264,81.2857158912587,72.0790315679487,57.4924553191398,57.0409187368617,76.691399405998,76.4032247053335,58.7200369673744,59.833042498963,67.211127899116,68.6245152258557,58.767626243882,59.5372509419316,68.2732220170402,67.5377471272321,60.3252641390753,61.2221555856205,68.3927954773253,67.8884542505206,61.0294666950507,61.4558604183475,74.5928998050561,75.2663561767562,65.3488706056675,66.9808597165676,75.7306120665731,72.9628900371197,58.8338764203097,59.5986810054126,76.6213553545696,75.7670352171052,61.2808151402516,61.5495795821763,73.5865758240397,70.6437627383069,62.8841703690772,63.7417659748217,75.2340885173708,75.7716803566091,60.0634724846805,59.5734052945922,73.5475962137422,80.0647525404762
"E5-N_Soil",68.399707131143,67.3918738859347,65.6912752504752,76.1586054273194,66.5688134659549,64.6698277671794,63.6827729054457,63.857931131905,74.7387698070119,75.082146831754,74.0895176087692,75.5237618166834,70.4442302274602,69.98947548556,70.9415590332916,71.492420504297,61.4395151215878,62.0000587540742,0,67.3914933936384,76.2802649247562,78.9143490177001,63.4458263523381,71.42670634976,72.9905032381605,72.7205311763772,72.6319565500425,64.5863601219256,68.5736846369966,71.0872472843069,76.4663123778682,66.8768027096966,67.0977098420777,67.4389383770964,70.9144177042677,71.4531105618774,65.969302796203,66.5990161946259,67.9989033637637,71.8102814622487,66.523678957308,67.0488148511681,66.4308272842861,64.1601818732561,67.2649037266449,67.992105918794,64.3100539463969,59.3772983288467,70.8023751792716,70.7678061265838,69.455148867731,69.9026697223534,73.0037984506323,72.9426331713203,71.6232008900738,70.603437914562,70.2245355286706,70.7192222486545,77.1051513262411,72.1757322798054,67.0228684265068,66.8859215216747,69.510099109469,69.1244775837172,69.239587654349,69.1174159281462,70.1489338625047,71.6454536793803,67.1750249168392,66.6239162525879,70.6256675364853,75.6997723577234
"E5-S_Soil",70.6290103519841,70.3373261807598,64.9669763383538,79.4640923189879,74.8767315686508,73.2315193886064,63.4258995634115,68.6049493474133,78.4249548276333,78.1285235124369,72.7284313011379,74.8504652833273,75.5720915936449,75.6178196420279,67.8744254143761,67.5117112360796,75.3181967307612,75.3642366401537,67.3914933936384,0,79.9232954213877,81.9493742314317,63.5666453579166,74.3730335841857,78.4161791563196,77.9755112175929,68.4685113131663,64.8521933212553,75.9509027099668,77.929490711139,70.9839880083628,63.9869868635039,73.5074172354485,74.4184553675301,71.6552503135702,70.4157809606634,71.7608750831904,71.1902904469032,72.1802484817517,75.3358662476245,73.5798112278872,73.6832459519386,72.8386921049,63.9027903121902,72.6420566785849,72.7805755996753,68.6249931178706,62.6904263744363,74.3550810843853,73.8984757836534,66.3785975179881,67.1225117517246,78.3989228092526,78.1816466192352,71.9178287103883,71.1320034753362,75.9114930785283,74.69703716425,75.1157715511528,70.188793281655,72.0393275621786,72.5043831439853,65.4840101023529,71.5712260136993,74.6743312355578,74.3124062097151,71.7901982950519,73.4156065856217,73.1034289909582,72.8648112340039,71.7740396655707,76.7964362783262
"E6-1_Root",62.9029042049307,62.7266881801128,75.2924350329398,81.7152984104198,60.6065646410963,59.3935596476951,75.1031093193239,71.6875262668467,68.4921289049801,68.7729708521616,81.1771601183543,83.6716953976675,58.1234264309758,59.0702441057153,73.4564404589783,75.4359831041464,64.8987495807442,64.62844013307,76.2802649247562,79.9232954213877,0,29.7114651231517,66.040551176319,66.9069098318956,65.6168862150372,67.8939035155118,79.1642464224807,70.8218834256978,65.1835594605012,67.3652523406649,85.854843429549,75.9257832985316,60.1661682799391,60.5646645909935,78.1587526680611,78.5252489200839,60.6145839595174,61.7226250854743,68.8265853948942,73.4902449605649,62.4342937704258,62.7299228833708,74.8907548465848,70.7987554287182,60.2444395549854,61.0824558872092,70.256905518308,69.1107539736171,61.3433177505622,61.0408023450092,76.1939689154331,75.4730481192992,71.0767726290631,72.6311017184614,77.9855726861574,75.1933072165675,61.3570596962399,60.867735946072,75.753233955078,76.1111066408487,60.7067831868996,61.0816930066518,74.8907951058606,75.6645621887554,67.7326420092846,68.0016521520515,77.4404699876888,77.6037165199156,63.5401379030746,62.2750430122816,76.3129174075517,82.6580069398323
"E6-2_Root",66.4012017613103,66.6370310356866,77.2326913111539,84.1164751964588,65.7817926426684,64.3792926753181,78.0699070014767,74.9178376189909,72.9244020373437,73.101251367325,83.9114490364089,86.3549807742999,63.4035372749904,63.9174312094957,76.3698584933008,77.9038200882694,69.0657354380882,69.1112193959126,78.9143490177001,81.9493742314317,29.7114651231517,0,68.4250384171679,70.2824891437035,70.3098827618037,71.786016689434,82.4759656325981,73.8338113108955,69.2308515395077,71.2722016576546,88.2017094296333,79.6164881579798,63.9938564462217,64.5517524018581,79.9131713517884,80.9294219253525,65.2799636669733,66.0036367333713,72.9295101712132,76.4386296693904,67.0650466035475,67.1245483491388,77.218694393495,73.6167671267637,63.6718242401379,64.6442351177738,72.4297242538077,70.8086663451911,66.0997497502643,65.5485292532318,78.8452726259467,78.1799323652792,75.2374699344152,76.4350925275904,81.2528320936558,79.0293278964856,65.7167000553555,64.783170999069,78.5585324676807,78.809151864087,65.6400912931992,65.7855940968354,77.7074502355085,79.0007307768272,70.972948768076,71.2924898684965,81.0657531927057,79.7992952214722,67.2140533583611,66.4025027666514,79.3787040939626,84.5346032318479
"E6-N_Soil",61.4374409229178,60.905814429379,57.491276576816,71.7677839960904,65.0437089415032,63.8073211598034,58.2034711318197,60.7382201801738,74.7335676958216,74.5548826646169,71.5492499070128,74.9195504900824,64.284309160629,64.4909465384281,61.0130557841288,64.0613090137877,69.4594110452041,69.4745658727739,63.4458263523381,63.5666453579166,66.040551176319,68.4250384171679,0,61.419869239646,71.1639587248249,71.7595919479237,63.2593042972369,54.5025212159976,70.2202950560755,72.5436788770956,72.0184348341866,60.4286633048526,64.2912270848054,65.3488001289532,66.2306688006929,66.807812790132,60.9800792227143,60.5536293672265,59.7941451166257,68.3148347828574,62.8286901575122,62.8473290241459,67.4454416976688,57.3030496816344,58.8437708046482,59.5085573978511,51.6005944569818,46.4597416231074,65.5973514608668,65.0234675382105,57.1516882735132,58.3968896874008,70.5663892905399,70.4652718685765,64.3915590036768,62.5476952069996,65.5270912509598,65.7123461756779,66.7703286754316,65.3639468806621,60.7049415082234,60.6783484828619,60.9489043877366,66.5284563822553,66.32632803621,65.6689423147997,65.9576404298752,68.537429099276,63.3196211413138,62.457769839239,64.2763373958739,70.8759098386382
