"","E1-1_Root","E1-2_Root","E1-N_Soil","E1-S_Soil","E2-1_Root","E2-2_Root","E2-N_Soil","E2-S_Soil","E3-1_Root","E3-2_Root","E3-N_Soil","E3-S_Soil","E4-1_Root","E4-2_Root","E4-N_Soil","E4-S_Soil","E5-1_Root","E5-2_Root","E5-N_Soil","E5-S_Soil","E6-1_Root","E6-2_Root","E6-N_Soil","E6-S_Soil","E7-1_Root","E7-2_Root","E7-N_Soil","E7-S_Soil","E8-1_Root","E8-2_Root","E8-N_Soil","E8-S_Soil","E9-1_Root","E9-2_Root","E9-N_Soil","E9-S_Soil","P1-1_Root","P1-2_Root","P1-N_Soil","P1-S_Soil","P2-1_Root","P2-2_Root","P2-N_Soil","P2-S_Soil","P3-1_Root","P3-2_Root","P3-N_Soil","P3-S_Soil","P4-1_Root","P4-2_Root","P4-N_Soil","P4-S_Soil","P5-1_Root","P5-2_Root","P5-N_Soil","P5-S_Soil","P6-1_Root","P6-2_Root","P6-N_Soil","P6-S_Soil","P7-1_Root","P7-2_Root","P7-N_Soil","P7-S_Soil","P8-1_Root","P8-2_Root","P8-N_Soil","P8-S_Soil","P9-1_Root","P9-2_Root","P9-N_Soil","P9-S_Soil"
"E3-N_Soil",0.479223914113482,0.568938586840634,0.49187408630308,0.50306037317972,0.425840106530406,0.424086820103335,0.565145926350303,0.505972578165371,0.518154948929567,0.507687628307297,0,0.458581698475658,0.525127645390891,0.504959018751484,0.511348198207264,0.518780583979002,0.696962546709429,0.685078049154267,0.524190591632965,0.600432939930983,0.443146124343841,0.431362853517797,0.61883099045484,0.355443229481185,0.491673320967812,0.503302183681602,0.508817309230242,0.454973342011218,0.484008061809799,0.529188941014386,0.425572211407041,0.438309778794017,0.402139792102452,0.451586803697998,0.481160826403742,0.397686330205215,0.588492819482759,0.551682788808947,0.521276345015119,0.586769893718398,0.450559355109144,0.454230288877303,0.521987407200631,0.680155035737463,0.48671686584536,0.489562953774056,0.456118108134953,0.556069965725468,0.541907585684814,0.532665768692481,0.498720937278358,0.576383049416611,0.464552003187816,0.45046745490344,0.476516528168008,0.555345169970622,0.426153066907501,0.45490179554768,0.611351534102704,0.408202293848593,0.552514492713366,0.555678944532502,0.514401768684495,0.478238541374588,0.534905819170018,0.55466474695526,0.679072795288398,0.576301088352787,0.539576879205646,0.473239435829199,0.45205254681591,0.422542734386331
"E3-S_Soil",0.511843678310266,0.581478820528521,0.506326040683767,0.517199918368306,0.442453754510232,0.440766547557852,0.577535688352122,0.518011474560828,0.531893486261924,0.521701816821383,0.458581698475658,0,0.5637017095377,0.53813768194245,0.525284028273508,0.525476662925047,0.707237331540154,0.710825179384104,0.537775018370095,0.626419038365698,0.443676866497436,0.318615417015948,0.630379909683748,0.425682727313044,0.506131000274698,0.500304951919227,0.522583655452849,0.470559707049799,0.496204703328256,0.542648266939821,0.447920809133586,0.454467886931488,0.419692529980844,0.467286131924362,0.496647466683365,0.419682116991904,0.600754404400143,0.559483187483318,0.53493473673214,0.598937075719128,0.466293268434118,0.469841304672667,0.535506715936469,0.690679772763286,0.497644375752875,0.504081152517452,0.471666646960655,0.554097660903826,0.555058666957454,0.546039415794039,0.512980086280718,0.588764857284946,0.467189040432889,0.466204462235153,0.491420225178637,0.568185432633199,0.451800120873108,0.47049054071378,0.623038970048887,0.425505054647875,0.565418996229738,0.580858779051587,0.528237886400612,0.493090203929415,0.548224843695568,0.567520381965284,0.68961404364663,0.592730416788599,0.552783390706201,0.488243148450695,0.406856197020278,0.436748536202805
"E4-1_Root",0.594965024796783,0.654930205012065,0.59110439557636,0.600445369457204,0.466856543104672,0.53601342996513,0.653344284095364,0.602887338515121,0.613147937589131,0.602413616437504,0.525127645390891,0.5637017095377,0,0.20707331172571,0.607422941343614,0.613676961944455,0.770218758529833,0.773514748379525,0.617824772635468,0.696740009422914,0.551217058623565,0.530311854990713,0.70030362220038,0.491397586954638,0.582143283354362,0.60064801044223,0.605277126068244,0.560769990541683,0.584574734165034,0.620526932208791,0.541912000466736,0.5473361759243,0.518821988248932,0.558025818390095,0.582834892268312,0.518813540868933,0.666531095508121,0.641733418810739,0.615788109050385,0.672138074775172,0.557194614010782,0.560167294700587,0.616390351892577,0.755042752068186,0.586819646126344,0.589182491764005,0.561699189917826,0.645509073785899,0.633349054742094,0.625459378756166,0.5968142949849,0.66308934564107,0.568569536668314,0.557120251782321,0.578386899851944,0.644884934427147,0.54505435910879,0.560712013075937,0.693702102011692,0.523535306750716,0.642448564886146,0.656078861260946,0.609979221990028,0.575786717994029,0.62736833395798,0.644298913238352,0.754067954433853,0.666613006589088,0.63135584577919,0.571217424599537,0.558402721028621,0.534792580111792
"E4-2_Root",0.571711882525065,0.634815581790777,0.566777246372016,0.576512371064533,0.443935172485251,0.509061297708644,0.631418677518687,0.579055280479963,0.589730453460182,0.580554692842086,0.504959018751484,0.53813768194245,0.20707331172571,0,0.583775955982025,0.590280401119421,0.751707805298295,0.75508453116938,0.595040856624054,0.676222113201246,0.523326343911833,0.515138792352145,0.679893162014924,0.475581697314408,0.566602980680062,0.576723411426056,0.581542904830897,0.535065963551681,0.559964097423689,0.597609920568254,0.515268400877134,0.520969975826162,0.490927200888304,0.532189285512751,0.558147580095502,0.490918281429432,0.652634558004253,0.619397154884979,0.592474957509654,0.650845509389192,0.531317680849278,0.534434280769579,0.593100816568715,0.736150559783161,0.510263109879967,0.564772604613131,0.536039718663491,0.623308064431084,0.598133819063841,0.586834336132047,0.572729624284822,0.641496638158228,0.543234553389129,0.531239711498646,0.553501300347619,0.6226616357833,0.518482052792845,0.535005180674959,0.673091788464048,0.495905642926025,0.620138057008287,0.634247744040167,0.586435305352572,0.554984553431096,0.604501762102592,0.62205472590827,0.73515072420283,0.645138214892322,0.608386275183564,0.55068238078173,0.532584492965004,0.467644667353113
"E4-N_Soil",0.559629618478618,0.623955919644582,0.554587517544654,0.564532806233794,0.496955749021412,0.495454138099304,0.620499580577983,0.567129433739515,0.578024775928798,0.568660245779616,0.511348198207264,0.525284028273508,0.607422941343614,0.583775955982025,0,0.578585813931638,0.742558485910935,0.74597658937888,0.583441663209041,0.66603748637543,0.511863487550285,0.50169643541309,0.669764296168114,0.482084156065474,0.554409429117195,0.564748317687189,0.569669078372468,0.522136726844482,0.547622798417773,0.587936554411508,0.501829521608275,0.507682001156825,0.476802950578542,0.519188426263953,0.545765225596342,0.476793771365217,0.642076124176267,0.608262412381885,0.580824577896627,0.640257590383034,0.518294968593465,0.521489382704627,0.58146294525165,0.726805577093217,0.550018484044111,0.552538675249834,0.523134547216914,0.612147370951787,0.599410292638514,0.591067978278571,0.560669264306419,0.629594844598076,0.530504362633204,0.5182150483636,0.54101265272233,0.611585935342006,0.505295244059083,0.522074427475689,0.662859167737335,0.481927281241414,0.609016859128439,0.623378174802253,0.574634421517367,0.542530038005671,0.593087574797314,0.610968390936691,0.725792744683713,0.634455114803412,0.59245197298718,0.538128349074575,0.519593533817666,0.494133099602436
"E4-S_Soil",0.566411235919568,0.630045920220988,0.561430020100573,0.571256256438996,0.503170378907254,0.416819663076832,0.621581733944282,0.573822459263304,0.584593164155259,0.575335497371166,0.518780583979002,0.525476662925047,0.613676961944455,0.590280401119421,0.578585813931638,0,0.747683907744416,0.751078714639368,0.589949794477722,0.669943781030221,0.5192690058542,0.509180142717009,0.671062917230874,0.489939811397584,0.561254096389284,0.571469236432196,0.571954622941876,0.529398607706026,0.554551196345877,0.594395482012376,0.509380868222767,0.515147598219267,0.484744170332828,0.526490967391905,0.552716894686074,0.484735138242291,0.647848227616663,0.614507864631958,0.587361669016245,0.646194125546277,0.525609915947272,0.523979021840978,0.587992962535297,0.732041190795209,0.556917096323136,0.559406222614612,0.530382767483592,0.618425141720824,0.329603396116393,0.320565560450704,0.567438477570699,0.636776987558521,0.537653290154513,0.525531101945645,0.54802458386927,0.616945048360601,0.512795585504543,0.528890712629511,0.668595153043418,0.489785453611899,0.474206664561206,0.629327213289317,0.581268906510228,0.549522616576519,0.599491036775555,0.617186481856166,0.731035736632041,0.640445396298223,0.603662667925801,0.545177355114695,0.516524861316381,0.500038974784572
"E5-1_Root",0.733110738274042,0.783324382189764,0.729203877638825,0.736861050609025,0.686302188221364,0.685370211584495,0.78057387872421,0.73885227989731,0.669015754957804,0.740028493831688,0.696962546709429,0.707237331540154,0.770218758529833,0.751707805298295,0.742558485910935,0.747683907744416,0,0.8836195324597,0.279702130103774,0.817245849591876,0.616635404456974,0.689896909375684,0.820286753654183,0.675767073019276,0.571821171389138,0.73702623810269,0.74080414583941,0.704902570345662,0.723985621308941,0.75494363453743,0.689993631924792,0.69411263412954,0.67200928664806,0.702665244324069,0.722581351669636,0.672002726017048,0.797686080230666,0.770880565315464,0.749417458461071,0.796208155766786,0.702061421921385,0.704423206467732,0.749912695229387,0.867493266107145,0.725799681522829,0.415808042977282,0.598498393686314,0.774026833776189,0.763911692362412,0.757385079582429,0.647595527925022,0.788750003890695,0.711123701139502,0.701716688502121,0.718748600821912,0.773506596708847,0.692518744384597,0.704856550207045,0.814656433842558,0.675655182933898,0.771476018286684,0.782796056199892,0.744514523358261,0.720140652121136,0.758962501620108,0.772939539213785,0.86663495709483,0.791714760914666,0.76226218171236,0.71675517562105,0.703020611104031,0.684415800418287
"E5-2_Root",0.736572650628677,0.786565486343322,0.732748758254783,0.740305440825916,0.690152468069426,0.689071854295009,0.783826352124295,0.742287430014137,0.750646179988034,0.743458223257814,0.685078049154267,0.710825179384104,0.773514748379525,0.75508453116938,0.74597658937888,0.751078714639368,0.8836195324597,0,0.754762553641955,0.230245830704173,0.700964877198256,0.693574410316108,0.823382533297309,0.679521001060297,0.732613876498614,0.740469861593012,0.744230304708378,0.708502233039436,0.727490930169131,0.758305955585462,0.693670618422855,0.697916737434586,0.675784078141621,0.70633215774396,0.726093434081523,0.675777552919903,0.801018362301404,0.774173727114852,0.752804441907369,0.799561197676104,0.705675571860441,0.708025306392384,0.753297461606878,0.8704213455047,0.729234538214133,0.731199033830629,0.70923792404696,0.777107859921056,0.767237182384214,0.760736615158152,0.737363191852999,0.791968945823983,0.714692052025567,0.705616778815781,0.722527546439979,0.776788642352659,0.444149082610254,0.708456449966808,0.817773475265093,0.679409729550767,0.774766649582121,0.337480699943736,0.748059649560065,0.723664572413819,0.762307108869544,0.776301939004661,0.8695758247709,0.679797884685484,0.765592381824927,0.720370008186184,0.706629854676387,0.688122576183841
"E5-N_Soil",0.57137053094517,0.634508181814022,0.566432920890176,0.576173863737416,0.510140603739354,0.508677903378569,0.631109622928403,0.578718260563047,0.52680535739212,0.58021854405769,0.524190591632965,0.537775018370095,0.617824772635468,0.595040856624054,0.583441663209041,0.589949794477722,0.279702130103774,0.754762553641955,0,0.675933546144552,0.456536705005844,0.514759924827228,0.67960615399653,0.495664643398947,0.437718050609707,0.576385028065261,0.581207327648157,0.53470121645229,0.559615579623264,0.599123244721402,0.514889628696288,0.520595352173946,0.490529632672408,0.531822565424287,0.557797927234709,0.490520705965399,0.652335555858903,0.619082098505141,0.592145576049844,0.65054568489297,0.530950358714395,0.534069102258626,0.592771783011037,0.735885495806288,0.561960164655751,0.306161123426706,0.44599624823596,0.622994985995283,0.610386825965499,0.60219651740407,0.50243499329651,0.641192441785015,0.542875294939665,0.530872335379147,0.553148710358345,0.622348232240951,0.51826806148473,0.534640392155206,0.672801878370448,0.495512069292469,0.619823377235909,0.63392019202229,0.586102529425851,0.554632906425122,0.604178937801282,0.62174101632666,0.734885299568402,0.644835736482773,0.608318428513492,0.550327984603401,0.532218045142279,0.507167731590473
"E5-S_Soil",0.655488501401588,0.711200323238444,0.651188851404413,0.659679917387017,0.602860433349177,0.601623132095424,0.70816983518172,0.661903382539647,0.671263000976248,0.663215779049961,0.600432939930983,0.626419038365698,0.696740009422914,0.676222113201246,0.66603748637543,0.669943781030221,0.817245849591876,0.230245830704173,0.675933546144552,0,0.615208054703724,0.606774553830497,0.751714150607389,0.587090527209022,0.651037131617055,0.659864390578487,0.664081069787809,0.623782038590551,0.645267227604647,0.67981724957321,0.606884560694613,0.611733077315313,0.586357904287858,0.621316195698607,0.643691374394577,0.586350412628388,0.727151158766548,0.697471763546049,0.673675521116463,0.725545776550893,0.61907885757856,0.623240282009899,0.674226188793901,0.802221543037644,0.647301781520905,0.649444688282849,0.624617512734793,0.700947388773398,0.689764897573867,0.682527368349949,0.656376515900475,0.71717091242947,0.630803245621631,0.620502930031125,0.63966654359336,0.700372738484878,0.364323280362364,0.62372996278687,0.74556727647187,0.590532590784907,0.698129821446337,0.309651973533961,0.668369665330032,0.640950496998225,0.684277230020698,0.699833074195442,0.802041914293129,0.61747338229815,0.687935063136081,0.637228730021322,0.621654681868349,0.600535662572573
