"otu","lfc_(Intercept)","lfc_TreeSpeciesPine","se_(Intercept)","se_TreeSpeciesPine","W_(Intercept)","W_TreeSpeciesPine","p_(Intercept)","p_TreeSpeciesPine","q_(Intercept)","q_TreeSpeciesPine","diff_(Intercept)","diff_TreeSpeciesPine","HostID"
"Occallatibacter",-0.649716918170387,1.28394168574383,0.246609085113299,0.348772690763129,-2.63460252436316,3.68131370301532,0.00842358602137294,0.000232035302007051,0.87886080822991,0.0242090165094023,FALSE,TRUE,"Pine"
"TK10",0.768354694031675,-1.55220153866029,0.361487826425522,0.511234850018122,2.12553407850369,-3.03618100097298,0.0335420736152296,0.00239595487398937,0.962446847127627,0.0749933875558672,FALSE,FALSE,"Eucalyptus"
"1174-901-12",0.464820123167146,-0.945132396931235,0.259344508235466,0.366783171803008,1.79228828221465,-2.57681504929797,0.0730867993336242,0.00997152890512771,0.962446847127627,0.162430956261036,FALSE,FALSE,"Eucalyptus"
"SBR1031",1.11312024309539,-2.24173263678773,0.476022877680969,0.673211319724981,2.33837551782838,-3.3299093035208,0.0193677766096668,0.000868742766224995,0.962446847127627,0.0677837658679103,FALSE,FALSE,"Eucalyptus"
"Massilia",0.761326684909055,-1.53814552041505,0.438770242523133,0.620528291186521,1.73513746176375,-2.47876775686398,0.0827164603026694,0.0131837117029417,0.962446847127627,0.171937573459198,FALSE,FALSE,"Eucalyptus"
"Collimonas",1.05475238168056,-2.12499691395807,0.597672667553129,0.845249719947898,1.76476596461859,-2.51404627982491,0.0776031070182454,0.0119354770227967,0.962446847127627,0.169809286733426,FALSE,FALSE,"Eucalyptus"
"type_III",0.94121973030801,-1.89793161121296,0.547937591678016,0.774913839349618,1.71774987626893,-2.44921630617139,0.085842247640644,0.0143167441607816,0.962446847127627,0.179245636892986,FALSE,FALSE,"Eucalyptus"
"Cryptosporangium",0.737194548521859,-1.48988124764066,0.530500863404133,0.750254635619597,1.38961988448314,-1.98583411138839,0.164644334337693,0.0470517467654019,0.962446847127627,0.39803234425867,FALSE,FALSE,"Eucalyptus"
"Hyphomicrobium",0.604587205090765,-1.22466656077847,0.368710633019888,0.521449397998235,1.63973357681321,-2.34858179044751,0.101060574343997,0.0188450598153192,0.962446847127627,0.205253784871123,FALSE,FALSE,"Eucalyptus"
"Bryocella",1.02721635741854,-2.06992486543403,0.645853709692273,0.913387887635193,1.59047837304825,-2.26620573083487,0.111727016731149,0.0234387899302917,0.962446847127627,0.24454470827271,FALSE,FALSE,"Eucalyptus"
