Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
097dc4aa7a675d998fd6ddcefa0f375d,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
09ef09eb6918bc3741bc68601cd6fe80,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
0ad7397a2920236aabf60342d048672a,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,VTX00052
0ae8512fde240304d5c5b1898c5803c1,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
0af9293fc9df9c7a6e56c7b869858933,Unassigned,,,,,,
0b2c2a6d49c6be8b16f7e71935d66365,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
0b4bb909540ed386731ad7d20b43b4c3,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
0b56d6ede7487dedbe93c0562b726f53,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00191
0b65cc7416601175d461b078a3c85659,Unassigned,,,,,,
0b7354240a910e9fda81def8cd81e121,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
0b920e5458fa7a99c5588f6a3cb96465,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
0b9785b7f5ae40010b96fc7c0118d34e,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
0b9fee9fffd83903c7ad4b12a0b6c148,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
0bbad4d0770b60dab1e1d27e1092aa07,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
0bf2ff068dce4d03e56d96c264e964ec,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
0c0b0d36b5a41ba098cff8f8f4970c9b,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00103
0c212e004e53a830c5d4a97e84dc577b,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
0c283deb3982cec213a02db18b0b06a4,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
0c3cdb48a379862077c40cc4153a5c4c,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
0c9753a20eea25ac098eb2e8f7b83829,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
0cac09637515f5239915694f031e289c,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
0cccd82d776f79e477dca2cc8f490ea0,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
0cf2978edd322ea4456638d6d0f1b62f,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
