"","dbh_p","tree_p","int_p","dbh_f","tree_f","int_f","R2","variable"
"38",0.0807062920791369,0.376122981821866,0.675940859325925,3.54411124762786,0.835636951741166,0.182247683263947,0.237600237225463,"Copiotroph_richness_root"
"39",0.840226914551913,0.666259548763405,0.525742565534373,0.0421834266295269,0.194090989353546,0.423480200391083,0.045804545132202,"Oligotroph_richness_root"
"40",0.472148190572566,0.835960369410212,0.997726459319685,0.546040279580426,0.0445029776169808,8.41441734122624e-06,0.0393386487755932,"OtherBacteria_richness_root"
"41",0.981063703447605,0.486893951161596,0.943648882310948,0.000583845489771464,0.509956530290212,0.00517875324836647,0.0358054606039599,"Fungal_Shannon_root"
"42",0.792439727932797,0.0580381573774468,0.765687876387889,0.0719433098104874,4.26114288410289,0.0923438355787214,0.238008706803351,"Fungal_Simpson_root"
"43",0.684580427281723,0.464916190025411,0.834542573659983,0.172052225436612,0.564448109805918,0.0452881741719646,0.0505606231094938,"Fungal_Invsimpson_root"
"44",0.545180999507078,0.24426964173588,0.223978497389612,0.384471229327064,1.47748099665757,1.61885403550577,0.195099984929008,"Fungal_Richness_root"
"45",0.10367564136599,0.0813754047967604,0.00187527437216416,3.02969771106616,3.52673451792981,14.5924398449897,0.606577404170785,"AMF_abund_root"
"46",0.383724028559087,0.66930606863056,0.118446303006978,0.808657480062097,0.190315870469955,2.76691753431877,0.209956625521422,"ECM_abund_root"
"47",0.486543715954501,0.217465363230584,0.041818617122082,0.510791694760825,1.66782826468629,5.01852598509069,0.343389474463703,"Endo_abund_root"
"48",0.586176507033334,0.456175683788251,0.706061339643673,0.310493511760676,0.587347276319057,0.148184361078357,0.0664127115572802,"Other_abund_root"
"49",0.237447058515177,0.0179264991996696,0.333678096497096,1.52323753724258,7.18530823055096,1.00258851903483,0.420549569330688,"Path_abund_root"
"50",0.140788445948291,0.583047088001863,0.139780002297059,2.43739181885235,0.315768361092532,2.45084014095834,0.26719355559039,"Sap_abund_root"
"51",0.308272006378237,0.230592915239047,0.206453102367524,1.11791271877495,1.57098255142252,1.75511678339973,0.24816092176057,"AMF_richness_root"
"52",0.947383121263813,0.853751515610889,0.119391156465561,0.00451405980980061,0.0352574413042906,2.75148163878381,0.166318988257504,"ECM_richness_root"
"53",0.630999651900816,0.00998810132167956,0.78708920299743,0.241129285022208,8.86517140675281,0.0758032595246536,0.401747488966638,"Endo_richness_root"
"54",0.56367025389648,0.206213984183763,0.101265157967212,0.349772223829613,1.75707847269221,3.07689440490953,0.266768679863002,"Other_richness_root"
"55",0.376396325467686,0.333982213458858,0.200985031321007,0.834652585714454,1.00128401962584,1.80072182861425,0.201326213635254,"Path_richness_root"
"56",0.519023060193117,0.352550256325947,0.3363045842375,0.43759977895231,0.924736510966792,0.991378057503705,0.140005524427578,"Sap_richness_root"
"57",0.782547216521848,0.839177625191889,0.423363160359628,0.0791656048856455,0.0427478634089733,0.68015420397895,0.0537497572708882,"AMF_Shannon_root"
"58",0.948005486588285,0.931724039804065,0.228661489107053,0.00440773731414826,0.00760908249002286,1.58477376501815,0.10242400588124,"AMF_Simpson_root"
"59",0.949275431964279,0.659595074110245,0.804926065812998,0.00419473346422411,0.20250586916079,0.0633556041664394,0.018728803489837,"AMF_Invsimpson_root"
"60",0.568044713430353,0.879255997477309,0.972771423115259,0.341889643492313,0.0239360670538906,0.00120740904678933,0.024873316177646,"AMF_Richness_root"
"61",0.0468263405338027,0.231307944946979,0.332426391583443,4.75213139294982,1.5659152431286,1.0079756151343,0.354643316449576,"perc_N"
"62",0.152789335508536,0.198952655289041,0.418821966697385,2.28597391665014,1.81808029744863,0.693911517914376,0.265867060276392,"perc_C"
"63",0.0343539211412215,0.539267788214735,0.768117316293245,5.49433806964453,0.39605581215454,0.0903763888997433,0.29359446741023,"CN_ratio"
"64",0.915117227219759,0.0118317335585422,0.937319715262941,0.0117782637064751,8.3626247327106,0.00641021908000824,0.374281827175976,"ergosterol"
"65",0.391418704171802,0.322037821907807,0.0786715660025999,0.782154909711657,1.05382936347706,3.59803127883634,0.275632522335425,"tot_P"
"66",0.394157652438985,0.322489188154676,0.0772067290818111,0.772911485833037,1.05179365853464,3.63789302010831,0.276729880542936,"perc_P"
